source,target,count,probability
0,8,4231,0.2734794130954689
0,4,4231,0.2734794130954689
0,5,557,0.03600284403076724
0,12,1225,0.07918040204253118
0,6,109,0.007045439855212979
0,1,1061,0.06857992372826578
0,2,1105,0.07142395449550773
0,14,163,0.010535841251373537
0,10,604,0.03904078598668476
0,15,74,0.004783142653997803
0,11,144,0.009307737056428156
0,13,145,0.009372374119320018
0,9,126,0.008144269924374637
0,7,138,0.008919914679076983
0,3,367,0.023721802081313425
5,7,151,0.10080106809078772
5,15,88,0.05874499332443257
5,13,119,0.0794392523364486
5,11,5,0.0033377837116154874
5,3,13,0.008678237650200267
5,4,13,0.008678237650200267
5,9,7,0.004672897196261682
5,1,54,0.036048064085447265
5,12,10,0.006675567423230975
5,0,13,0.008678237650200267
5,14,2,0.0013351134846461949
5,10,1,0.0006675567423230974
6,15,29,0.12083333333333333
6,7,63,0.2625
6,14,16,0.06666666666666667
6,5,10,0.041666666666666664
6,2,4,0.016666666666666666
6,4,14,0.058333333333333334
6,11,2,0.008333333333333333
6,0,2,0.008333333333333333
6,10,1,0.004166666666666667
8,10,726,0.16759002770083103
8,11,94,0.02169898430286242
8,14,258,0.05955678670360111
8,15,77,0.017774699907663897
8,12,663,0.1530470914127424
8,13,68,0.01569713758079409
8,4,21,0.004847645429362881
8,6,2,0.0004616805170821791
8,9,48,0.0110803324099723
8,0,81,0.018698060941828253
8,2,12,0.002770083102493075
8,3,1,0.00023084025854108956
8,5,1,0.00023084025854108956
8,1,1,0.00023084025854108956
1,5,125,0.09674922600619196
1,11,104,0.0804953560371517
1,9,59,0.0456656346749226
1,13,17,0.013157894736842105
1,3,427,0.3304953560371517
1,2,37,0.02863777089783282
1,8,10,0.007739938080495356
1,15,29,0.02244582043343653
1,7,70,0.05417956656346749
1,0,150,0.11609907120743033
1,4,2,0.0015479876160990713
1,10,4,0.0030959752321981426
1,14,1,0.0007739938080495357
1,12,3,0.0023219814241486067
14,15,140,0.16260162601626016
14,7,9,0.010452961672473868
14,12,18,0.020905923344947737
14,8,3,0.003484320557491289
14,4,3,0.003484320557491289
14,6,9,0.010452961672473868
14,10,10,0.011614401858304297
14,11,4,0.004645760743321719
14,13,13,0.015098722415795587
14,0,1,0.0011614401858304297
14,3,1,0.0011614401858304297
14,5,1,0.0011614401858304297
12,14,176,0.06819062378922898
12,13,209,0.08097636574970941
12,15,153,0.059279349089500194
12,4,28,0.01084850833010461
12,8,23,0.008911274699728787
12,10,6,0.002324680356450988
12,5,8,0.0030995738086013174
12,0,2,0.0007748934521503294
12,7,1,0.0003874467260751647
11,15,265,0.2219430485762144
11,3,135,0.11306532663316583
11,7,22,0.018425460636515914
11,9,6,0.005025125628140704
11,10,46,0.038525963149078725
11,2,1,0.0008375209380234506
11,5,1,0.0008375209380234506
11,13,1,0.0008375209380234506
11,8,2,0.0016750418760469012
11,14,1,0.0008375209380234506
11,1,1,0.0008375209380234506
11,6,1,0.0008375209380234506
4,15,90,0.02076603599446239
4,7,78,0.01799723119520074
4,0,65,0.014997692662667282
4,5,700,0.16151361329026304
4,13,254,0.0586063682510383
4,6,49,0.011305952930318412
4,12,631,0.14559298569450854
4,10,2,0.00046146746654360867
4,14,62,0.01430549146285187
4,8,18,0.004153207198892478
4,1,11,0.0025380710659898475
4,9,2,0.00046146746654360867
4,2,3,0.0006922011998154131
4,11,1,0.00023073373327180433
2,7,107,0.08256172839506173
2,10,131,0.10108024691358025
2,3,463,0.35725308641975306
2,5,11,0.008487654320987654
2,6,55,0.04243827160493827
2,11,78,0.06018518518518518
2,1,37,0.02854938271604938
2,0,149,0.11496913580246913
2,15,26,0.020061728395061727
2,14,15,0.011574074074074073
2,4,12,0.009259259259259259
2,8,3,0.0023148148148148147
9,11,77,0.2916666666666667
9,13,18,0.06818181818181818
9,15,24,0.09090909090909091
9,8,19,0.07196969696969698
9,10,10,0.03787878787878788
9,0,2,0.007575757575757576
9,3,2,0.007575757575757576
9,1,4,0.015151515151515152
9,2,1,0.003787878787878788
9,5,1,0.003787878787878788
9,4,1,0.003787878787878788
13,15,130,0.15063731170336037
13,9,7,0.008111239860950173
13,8,1,0.0011587485515643105
13,4,2,0.002317497103128621
13,12,24,0.027809965237543453
13,5,13,0.015063731170336037
13,14,12,0.013904982618771726
13,11,10,0.011587485515643106
13,0,1,0.0011587485515643105
13,7,4,0.004634994206257242
13,1,1,0.0011587485515643105
10,15,91,0.058146964856230034
10,11,147,0.0939297124600639
10,14,135,0.08626198083067092
10,8,20,0.012779552715654952
10,2,51,0.03258785942492013
10,6,10,0.006389776357827476
10,0,6,0.0038338658146964857
10,3,10,0.006389776357827476
10,12,5,0.003194888178913738
10,7,9,0.005750798722044728
10,9,4,0.0025559105431309905
10,5,2,0.0012779552715654952
3,7,444,0.2804801010739103
3,11,370,0.2337334175615919
3,15,89,0.05622236260265319
3,2,81,0.051168667087807956
3,1,112,0.07075173720783323
3,10,18,0.011370814908401769
3,0,4,0.002526847757422615
3,5,11,0.006948831332912192
3,9,3,0.0018951358180669614
3,8,1,0.0006317119393556538
3,6,1,0.0006317119393556538
3,14,1,0.0006317119393556538
7,11,38,0.031096563011456628
7,15,244,0.19967266775777415
7,3,147,0.12029459901800327
7,5,51,0.041734860883797055
7,1,10,0.008183306055646482
7,4,2,0.0016366612111292963
7,6,3,0.0024549918166939444
7,13,3,0.0024549918166939444
7,2,1,0.0008183306055646482
7,14,3,0.0024549918166939444
7,10,1,0.0008183306055646482
15,11,120,0.0774693350548741
15,7,126,0.08134280180761781
15,3,17,0.010974822466107165
15,5,6,0.003873466752743706
15,14,16,0.010329244673983214
15,12,2,0.0012911555842479018
15,10,5,0.0032278889606197547
15,13,16,0.010329244673983214
15,9,2,0.0012911555842479018
15,4,1,0.0006455777921239509
15,6,1,0.0006455777921239509
