state,bits,n_trials,left_choice_probability,mean_decision_time_ms,median_decision_time_ms,terminal_probability,end_count,outgoing_total
0,"[0,0,0,0]",14999,0.5047003133542236,115.14100940062671,100.0,0.07698274190420787,1191,15471
1,"[0,0,0,1]",1142,0.4071803852889667,170.55166374781086,150.0,0.19659442724458204,254,1292
2,"[0,0,1,0]",1184,0.5599662162162162,169.29054054054055,150.0,0.16126543209876543,209,1296
3,"[0,0,1,1]",1289,0.47633824670287045,181.7377812257564,160.0,0.2830069488313329,448,1583
4,"[0,1,0,0]",4281,0.12917542630226583,110.6657323055361,100.0,0.5463774803876327,2368,4334
5,"[0,1,0,1]",1464,0.11953551912568305,134.52185792349727,110.0,0.6822429906542056,1022,1498
6,"[0,1,1,0]",234,0.24358974358974358,148.67521367521368,130.0,0.4125,99,240
7,"[0,1,1,1]",1078,0.2189239332096475,175.5194805194805,150.0,0.588379705400982,719,1222
8,"[1,0,0,0]",4269,0.8802998360271727,111.09159053642539,100.0,0.5260849492151431,2279,4332
9,"[1,0,0,1]",260,0.7153846153846154,146.69230769230768,120.0,0.3977272727272727,105,264
10,"[1,0,1,0]",1531,0.8804702808621816,132.00522534291312,110.0,0.6869009584664537,1075,1565
11,"[1,0,1,1]",1075,0.7925581395348837,169.31162790697675,140.0,0.5963149078726968,712,1194
12,"[1,1,0,0]",2541,0.5269578905942542,112.00708382526564,100.0,0.7652072839984502,1975,2581
13,"[1,1,0,1]",831,0.3417569193742479,129.3742478941035,110.0,0.7624565469293163,658,863
14,"[1,1,1,0]",837,0.7025089605734767,126.6905615292712,110.0,0.7537746806039489,649,861
15,"[1,1,1,1]",1403,0.5074839629365645,159.4369208838204,130.0,0.7985797288573273,1237,1549
