source,source_bits,target,target_bits,transition_type,count,probability
0,"[0,0,0,0]",END,END,state_to_END,1191,0.07698274190420787
0,"[0,0,0,0]",1,"[0,0,0,1]",state_to_state,1061,0.06857992372826578
0,"[0,0,0,0]",2,"[0,0,1,0]",state_to_state,1105,0.07142395449550773
0,"[0,0,0,0]",3,"[0,0,1,1]",state_to_state,367,0.023721802081313425
0,"[0,0,0,0]",4,"[0,1,0,0]",state_to_state,4231,0.2734794130954689
0,"[0,0,0,0]",5,"[0,1,0,1]",state_to_state,557,0.03600284403076724
0,"[0,0,0,0]",6,"[0,1,1,0]",state_to_state,109,0.007045439855212979
0,"[0,0,0,0]",7,"[0,1,1,1]",state_to_state,138,0.008919914679076983
0,"[0,0,0,0]",8,"[1,0,0,0]",state_to_state,4231,0.2734794130954689
0,"[0,0,0,0]",9,"[1,0,0,1]",state_to_state,126,0.008144269924374637
0,"[0,0,0,0]",10,"[1,0,1,0]",state_to_state,604,0.03904078598668476
0,"[0,0,0,0]",11,"[1,0,1,1]",state_to_state,144,0.009307737056428156
0,"[0,0,0,0]",12,"[1,1,0,0]",state_to_state,1225,0.07918040204253118
0,"[0,0,0,0]",13,"[1,1,0,1]",state_to_state,145,0.009372374119320018
0,"[0,0,0,0]",14,"[1,1,1,0]",state_to_state,163,0.010535841251373537
0,"[0,0,0,0]",15,"[1,1,1,1]",state_to_state,74,0.004783142653997803
1,"[0,0,0,1]",END,END,state_to_END,254,0.19659442724458204
1,"[0,0,0,1]",0,"[0,0,0,0]",state_to_state,150,0.11609907120743033
1,"[0,0,0,1]",2,"[0,0,1,0]",state_to_state,37,0.02863777089783282
1,"[0,0,0,1]",3,"[0,0,1,1]",state_to_state,427,0.3304953560371517
1,"[0,0,0,1]",4,"[0,1,0,0]",state_to_state,2,0.0015479876160990713
1,"[0,0,0,1]",5,"[0,1,0,1]",state_to_state,125,0.09674922600619196
1,"[0,0,0,1]",7,"[0,1,1,1]",state_to_state,70,0.05417956656346749
1,"[0,0,0,1]",8,"[1,0,0,0]",state_to_state,10,0.007739938080495356
1,"[0,0,0,1]",9,"[1,0,0,1]",state_to_state,59,0.0456656346749226
1,"[0,0,0,1]",10,"[1,0,1,0]",state_to_state,4,0.0030959752321981426
1,"[0,0,0,1]",11,"[1,0,1,1]",state_to_state,104,0.0804953560371517
1,"[0,0,0,1]",12,"[1,1,0,0]",state_to_state,3,0.0023219814241486067
1,"[0,0,0,1]",13,"[1,1,0,1]",state_to_state,17,0.013157894736842105
1,"[0,0,0,1]",14,"[1,1,1,0]",state_to_state,1,0.0007739938080495357
1,"[0,0,0,1]",15,"[1,1,1,1]",state_to_state,29,0.02244582043343653
2,"[0,0,1,0]",END,END,state_to_END,209,0.16126543209876543
2,"[0,0,1,0]",0,"[0,0,0,0]",state_to_state,149,0.11496913580246913
2,"[0,0,1,0]",1,"[0,0,0,1]",state_to_state,37,0.02854938271604938
2,"[0,0,1,0]",3,"[0,0,1,1]",state_to_state,463,0.35725308641975306
2,"[0,0,1,0]",4,"[0,1,0,0]",state_to_state,12,0.009259259259259259
2,"[0,0,1,0]",5,"[0,1,0,1]",state_to_state,11,0.008487654320987654
2,"[0,0,1,0]",6,"[0,1,1,0]",state_to_state,55,0.04243827160493827
2,"[0,0,1,0]",7,"[0,1,1,1]",state_to_state,107,0.08256172839506173
2,"[0,0,1,0]",8,"[1,0,0,0]",state_to_state,3,0.0023148148148148147
2,"[0,0,1,0]",10,"[1,0,1,0]",state_to_state,131,0.10108024691358025
2,"[0,0,1,0]",11,"[1,0,1,1]",state_to_state,78,0.06018518518518518
2,"[0,0,1,0]",14,"[1,1,1,0]",state_to_state,15,0.011574074074074073
2,"[0,0,1,0]",15,"[1,1,1,1]",state_to_state,26,0.020061728395061727
3,"[0,0,1,1]",END,END,state_to_END,448,0.2830069488313329
3,"[0,0,1,1]",0,"[0,0,0,0]",state_to_state,4,0.002526847757422615
3,"[0,0,1,1]",1,"[0,0,0,1]",state_to_state,112,0.07075173720783323
3,"[0,0,1,1]",2,"[0,0,1,0]",state_to_state,81,0.051168667087807956
3,"[0,0,1,1]",5,"[0,1,0,1]",state_to_state,11,0.006948831332912192
3,"[0,0,1,1]",6,"[0,1,1,0]",state_to_state,1,0.0006317119393556538
3,"[0,0,1,1]",7,"[0,1,1,1]",state_to_state,444,0.2804801010739103
3,"[0,0,1,1]",8,"[1,0,0,0]",state_to_state,1,0.0006317119393556538
3,"[0,0,1,1]",9,"[1,0,0,1]",state_to_state,3,0.0018951358180669614
3,"[0,0,1,1]",10,"[1,0,1,0]",state_to_state,18,0.011370814908401769
3,"[0,0,1,1]",11,"[1,0,1,1]",state_to_state,370,0.2337334175615919
3,"[0,0,1,1]",14,"[1,1,1,0]",state_to_state,1,0.0006317119393556538
3,"[0,0,1,1]",15,"[1,1,1,1]",state_to_state,89,0.05622236260265319
