source,source_bits,target,target_bits,probability,n_common_networks,choice,responsiveness,pliancy
0,[0000],8,[1000],0.2734794130954689,292,13.970400661142367,39.966785411099174,42.46834227126521
0,[0000],4,[0100],0.2734794130954689,292,-24.339603109379546,31.412217828319562,40.807639212191994
0,[0000],5,[0101],0.03600284403076724,266,-34.39057932244678,43.08297744302065,51.04674774252666
0,[0000],12,[1100],0.07918040204253118,247,-7.689860461912823,57.32207572572449,52.56505356923523
0,[0000],6,[0110],0.007045439855212979,124,-8.297442368775723,50.44220409423205,51.23151277385818
0,[0000],1,[0001],0.06857992372826578,176,-19.431045318608014,29.042236722436407,44.28866450944678
0,[0000],2,[0010],0.07142395449550773,177,8.188141947635838,36.013898272582665,44.00851881562593
0,[0000],14,[1110],0.010535841251373537,206,3.712080378945023,67.90032104520603,58.6806431107899
0,[0000],10,[1010],0.03904078598668476,272,21.339043921882837,55.468664434571934,51.71362559914185
0,[0000],15,[1111],0.004783142653997803,194,-7.937302178827768,70.9673278123,63.76390335673304
0,[0000],11,[1011],0.009307737056428156,150,6.088191743795921,58.655699585208424,58.94091389296565
0,[0000],13,[1101],0.009372374119320018,202,-19.790585004206662,62.6546262930476,59.31773589010342
0,[0000],9,[1001],0.008144269924374637,146,-6.262857420300902,48.327597408355516,53.00079658467483
0,[0000],7,[0111],0.008919914679076983,154,-20.915632816729012,51.73092229753251,57.27307100043643
0,[0000],3,[0011],0.023721802081313425,109,-5.217844654786977,41.68837634765048,52.37300184198886
5,[0101],7,[0111],0.10080106809078772,153,12.88007813020683,11.837586486504776,7.846494544284839
5,[0101],15,[1111],0.05874499332443257,190,26.490812882584745,28.3796482066688,12.156063955606639
5,[0101],13,[1101],0.0794392523364486,190,14.184226767090617,17.897334247772722,7.375398280123872
5,[0101],11,[1011],0.0033377837116154874,148,39.634543119780695,18.94815000504607,8.891003527464786
5,[0101],3,[0011],0.008678237650200267,106,28.34342068784968,4.901209630021358,4.388158813595612
5,[0101],4,[0100],0.008678237650200267,259,10.43829563023445,-12.152952465797329,-10.653817387879926
5,[0101],9,[1001],0.004672897196261682,141,27.31162362518214,7.745327439302534,2.7736226393307377
5,[0101],1,[0001],0.036048064085447265,171,13.871883008249831,-10.229270158279022,-3.692794801597678
5,[0101],12,[1100],0.006675567423230975,218,28.040087287015815,12.341721096362232,0.3610349708509074
5,[0101],0,[0000],0.008678237650200267,266,34.39057932244678,-43.08297744302065,-51.04674774252666
5,[0101],14,[1110],0.0013351134846461949,197,38.04518655021663,22.953217458100553,6.584536684815012
5,[0101],10,[1010],0.0006675567423230974,253,55.98817472765091,12.913653783369359,1.1803582726647925
6,[0110],15,[1111],0.12083333333333333,105,-0.14559249424103982,20.114623539808846,10.668542959830223
6,[0110],7,[0111],0.2625,93,-12.757287762449753,6.617234115672117,6.647494131474696
6,[0110],14,[1110],0.06666666666666667,96,10.64467763366363,15.84219585249207,4.839790665002727
