panel,source,plot_key,q02_5,q25,q50,q75,q97_5,n_trials
A,CBGT,i_only,0.468384074941452,0.4816549570647931,0.4882903981264637,0.4949258391881342,0.5078064012490242,
A,IBL+Steinmetz,i_only,0.4602649006622517,0.5,0.5198675496688742,0.5364238410596026,0.5761589403973509,
A,CBGT,left,0.8661202185792349,0.8747072599531616,0.8790007806401249,0.8832943013270882,0.8911007025761124,
A,IBL+Steinmetz,left,0.5397350993377483,0.5761589403973509,0.5960264900662252,0.6125827814569537,0.6490066225165563,
A,CBGT,right,0.1178766588602654,0.1260733801717408,0.1307572209211553,0.1354410616705698,0.1440281030444964,
A,IBL+Steinmetz,right,0.3079470198675497,0.3410596026490066,0.3609271523178808,0.3774834437086092,0.4139072847682119,
B,CBGT,8,0.5109718787697585,0.5211048330411929,0.526376677464137,0.531314998844465,0.5416105618271142,
B,IBL+Steinmetz,8,0.1623923739237392,0.1824131569688382,0.1932239626510755,0.2045454545454545,0.2259887005649717,
B,CBGT,8_to_10,0.731104061910748,0.7506802758763282,0.7617394963960546,0.772133526850508,0.7919476510067114,
B,IBL+Steinmetz,8_to_10,0.2982456140350877,0.3670886075949367,0.4049125979505726,0.4428571428571428,0.5230769230769231,
B,CBGT,4,0.5312858939117384,0.5410706045223812,0.5465652374366067,0.5517161944252477,0.5618067193618982,
B,IBL+Steinmetz,4,0.1727272727272727,0.1951082795581319,0.2082324455205811,0.2209939217728734,0.2470315774765963,
B,CBGT,4_to_5,0.7244897959183674,0.746452206294726,0.7580872011251758,0.7684551169254046,0.7870517618888397,
B,IBL+Steinmetz,4_to_5,0.2173619271445358,0.3243243243243243,0.3870967741935484,0.4516129032258064,0.5714285714285714,
C,CBGT,state10,74.0,92.75,107.0,136.0,277.6500000000001,1368.0
C,IBL+Steinmetz,state10,122.20539352895798,171.19630575442102,215.14935529414458,267.4890392560627,371.55668127633413,110.0
C,CBGT,10_to_11,83.25,112.0,148.0,202.0,363.6499999999997,163.0
C,IBL+Steinmetz,10_to_11,218.98125417666847,263.81930043442026,311.15690103365523,357.02103558321596,385.0215144518643,6.0
C,CBGT,state5,71.0,92.0,107.0,138.0,273.25,1286.0
C,IBL+Steinmetz,state5,138.76757454249855,181.29828385295355,220.0082761870732,301.1689754603708,387.1400269638456,48.0
C,CBGT,5_to_7,90.425,114.0,157.0,228.0,382.3249999999999,178.0
C,IBL+Steinmetz,5_to_7,155.70316625077112,231.8089480060337,258.03339036301054,283.66194568929615,357.785180174045,8.0
