session,population,threshold
churchlandlab | CSHL049 | 2020-01-08,dSPN,2.1565502772676917
churchlandlab | CSHL049 | 2020-01-08,iSPN,2.07281817086991
zadorlab | CSH_ZAD_026 | 2020-08-17,dSPN,3.782198138992526
zadorlab | CSH_ZAD_026 | 2020-08-17,iSPN,4.640589034828651
danlab | DY_014 | 2020-07-18,dSPN,3.274911828058552
danlab | DY_014 | 2020-07-18,iSPN,3.9866714271991857
hoferlab | SWC_061 | 2020-11-23,dSPN,4.207216567818706
hoferlab | SWC_061 | 2020-11-23,iSPN,2.782093723962776
mrsicflogellab | SWC_038 | 2020-08-01,dSPN,2.4984092559495186
mrsicflogellab | SWC_038 | 2020-08-01,iSPN,6.973572618382773
mrsicflogellab | SWC_038 | 2020-07-31,dSPN,3.450878448927862
mrsicflogellab | SWC_038 | 2020-07-31,iSPN,2.923552386595464
cortexlab | KS086 | 2022-03-16,dSPN,1.8982966573750113
cortexlab | KS086 | 2022-03-16,iSPN,2.33211092365361
