state,bits,n_trials,left_choice_probability,mean_decision_time_ms,median_decision_time_ms,terminal_probability,end_count,outgoing_total
0,"[0,0,0,0]",749,0.5006675567423231,220.05656926793577,212.16078859379195,0.27822286962855064,382,1373
1,"[0,0,0,1]",143,0.5034965034965034,250.66084283532993,239.79912103141032,0.2125,51,240
2,"[0,0,1,0]",217,0.5161290322580646,240.27641309358535,231.69063813747923,0.1951219512195122,64,328
3,"[0,0,1,1]",30,0.3999999999999998,246.29278271739287,218.92867990038667,0.29545454545454547,13,44
4,"[0,1,0,0]",161,0.422360248447205,252.22568579858307,249.4677675293815,0.1776061776061776,46,259
5,"[0,1,0,1]",32,0.37500000000000006,249.72173418140108,233.08115413169617,0.358974358974359,14,39
6,"[0,1,1,0]",48,0.33333333333333337,243.73589608594474,242.7722833563166,0.26865671641791045,18,67
7,"[0,1,1,1]",11,0.27272727272727276,267.6146637017031,294.20000410163993,0.3333333333333333,4,12
8,"[1,0,0,0]",223,0.641255605381166,236.95889100002213,234.25195065692608,0.2507204610951009,87,347
9,"[1,0,0,1]",32,0.6250000000000001,232.47849879594628,223.15329961531916,0.32558139534883723,14,43
10,"[1,0,1,0]",77,0.6753246753246753,231.069243339112,223.258276968636,0.38317757009345793,41,107
11,"[1,0,1,1]",12,0.6666666666666667,254.84520423349485,255.31795309370864,0.4166666666666667,5,12
12,"[1,1,0,0]",27,0.6296296296296295,235.92226967218934,235.749484073267,0.2777777777777778,10,36
13,"[1,1,0,1]",9,0.7777777777777778,218.9792630624336,241.7322688806962,0.15384615384615385,2,13
14,"[1,1,1,0]",5,0.6000000000000001,213.1209962056687,233.93241010398924,0.16666666666666666,1,6
15,"[1,1,1,1]",1,1.0,241.7322688806962,241.7322688806962,0.0,0,1
