source,source_bits,target,target_bits,transition_type,count,probability
0,"[0,0,0,0]",END,END,state_to_END,382,0.27822286962855064
0,"[0,0,0,0]",1,"[0,0,0,1]",state_to_state,196,0.14275309541150766
0,"[0,0,0,0]",2,"[0,0,1,0]",state_to_state,265,0.1930080116533139
0,"[0,0,0,0]",3,"[0,0,1,1]",state_to_state,6,0.004369992716678805
0,"[0,0,0,0]",4,"[0,1,0,0]",state_to_state,198,0.1442097596504006
0,"[0,0,0,0]",5,"[0,1,0,1]",state_to_state,8,0.005826656955571741
0,"[0,0,0,0]",6,"[0,1,1,0]",state_to_state,12,0.00873998543335761
0,"[0,0,0,0]",7,"[0,1,1,1]",state_to_state,1,0.0007283321194464676
0,"[0,0,0,0]",8,"[1,0,0,0]",state_to_state,275,0.20029133284777859
0,"[0,0,0,0]",9,"[1,0,0,1]",state_to_state,8,0.005826656955571741
0,"[0,0,0,0]",10,"[1,0,1,0]",state_to_state,14,0.010196649672250545
0,"[0,0,0,0]",11,"[1,0,1,1]",state_to_state,1,0.0007283321194464676
0,"[0,0,0,0]",12,"[1,1,0,0]",state_to_state,6,0.004369992716678805
0,"[0,0,0,0]",13,"[1,1,0,1]",state_to_state,1,0.0007283321194464676
1,"[0,0,0,1]",END,END,state_to_END,51,0.2125
1,"[0,0,0,1]",0,"[0,0,0,0]",state_to_state,134,0.5583333333333333
1,"[0,0,0,1]",2,"[0,0,1,0]",state_to_state,4,0.016666666666666666
1,"[0,0,0,1]",3,"[0,0,1,1]",state_to_state,19,0.07916666666666666
1,"[0,0,0,1]",4,"[0,1,0,0]",state_to_state,3,0.0125
1,"[0,0,0,1]",5,"[0,1,0,1]",state_to_state,12,0.05
1,"[0,0,0,1]",6,"[0,1,1,0]",state_to_state,1,0.004166666666666667
1,"[0,0,0,1]",8,"[1,0,0,0]",state_to_state,2,0.008333333333333333
1,"[0,0,0,1]",9,"[1,0,0,1]",state_to_state,14,0.058333333333333334
2,"[0,0,1,0]",END,END,state_to_END,64,0.1951219512195122
2,"[0,0,1,0]",0,"[0,0,0,0]",state_to_state,187,0.5701219512195121
2,"[0,0,1,0]",1,"[0,0,0,1]",state_to_state,4,0.012195121951219513
2,"[0,0,1,0]",3,"[0,0,1,1]",state_to_state,14,0.042682926829268296
2,"[0,0,1,0]",4,"[0,1,0,0]",state_to_state,7,0.021341463414634148
2,"[0,0,1,0]",6,"[0,1,1,0]",state_to_state,17,0.051829268292682924
2,"[0,0,1,0]",7,"[0,1,1,1]",state_to_state,2,0.006097560975609756
2,"[0,0,1,0]",8,"[1,0,0,0]",state_to_state,4,0.012195121951219513
2,"[0,0,1,0]",10,"[1,0,1,0]",state_to_state,27,0.08231707317073171
2,"[0,0,1,0]",11,"[1,0,1,1]",state_to_state,2,0.006097560975609756
3,"[0,0,1,1]",END,END,state_to_END,13,0.29545454545454547
3,"[0,0,1,1]",0,"[0,0,0,0]",state_to_state,6,0.13636363636363635
3,"[0,0,1,1]",1,"[0,0,0,1]",state_to_state,11,0.25
3,"[0,0,1,1]",2,"[0,0,1,0]",state_to_state,7,0.1590909090909091
3,"[0,0,1,1]",6,"[0,1,1,0]",state_to_state,1,0.022727272727272728
3,"[0,0,1,1]",7,"[0,1,1,1]",state_to_state,5,0.11363636363636363
3,"[0,0,1,1]",11,"[1,0,1,1]",state_to_state,1,0.022727272727272728
4,"[0,1,0,0]",END,END,state_to_END,46,0.1776061776061776
4,"[0,1,0,0]",0,"[0,0,0,0]",state_to_state,144,0.555984555984556
4,"[0,1,0,0]",1,"[0,0,0,1]",state_to_state,2,0.007722007722007722
4,"[0,1,0,0]",2,"[0,0,1,0]",state_to_state,9,0.03474903474903475
4,"[0,1,0,0]",5,"[0,1,0,1]",state_to_state,13,0.05019305019305019
4,"[0,1,0,0]",6,"[0,1,1,0]",state_to_state,32,0.12355212355212356
4,"[0,1,0,0]",7,"[0,1,1,1]",state_to_state,1,0.003861003861003861
4,"[0,1,0,0]",8,"[1,0,0,0]",state_to_state,2,0.007722007722007722
4,"[0,1,0,0]",9,"[1,0,0,1]",state_to_state,1,0.003861003861003861
4,"[0,1,0,0]",12,"[1,1,0,0]",state_to_state,7,0.02702702702702703
4,"[0,1,0,0]",13,"[1,1,0,1]",state_to_state,1,0.003861003861003861
4,"[0,1,0,0]",14,"[1,1,1,0]",state_to_state,1,0.003861003861003861
5,"[0,1,0,1]",END,END,state_to_END,14,0.358974358974359
5,"[0,1,0,1]",1,"[0,0,0,1]",state_to_state,9,0.23076923076923078
5,"[0,1,0,1]",4,"[0,1,0,0]",state_to_state,12,0.3076923076923077
5,"[0,1,0,1]",7,"[0,1,1,1]",state_to_state,2,0.05128205128205128
5,"[0,1,0,1]",9,"[1,0,0,1]",state_to_state,1,0.02564102564102564
5,"[0,1,0,1]",13,"[1,1,0,1]",state_to_state,1,0.02564102564102564
6,"[0,1,1,0]",END,END,state_to_END,18,0.26865671641791045
6,"[0,1,1,0]",0,"[0,0,0,0]",state_to_state,4,0.05970149253731343
6,"[0,1,1,0]",2,"[0,0,1,0]",state_to_state,17,0.2537313432835821
6,"[0,1,1,0]",4,"[0,1,0,0]",state_to_state,24,0.3582089552238806
6,"[0,1,1,0]",7,"[0,1,1,1]",state_to_state,1,0.014925373134328358
6,"[0,1,1,0]",8,"[1,0,0,0]",state_to_state,2,0.029850746268656716
6,"[0,1,1,0]",10,"[1,0,1,0]",state_to_state,1,0.014925373134328358
7,"[0,1,1,1]",END,END,state_to_END,4,0.3333333333333333
7,"[0,1,1,1]",2,"[0,0,1,0]",state_to_state,1,0.08333333333333333
7,"[0,1,1,1]",3,"[0,0,1,1]",state_to_state,3,0.25
7,"[0,1,1,1]",4,"[0,1,0,0]",state_to_state,1,0.08333333333333333
7,"[0,1,1,1]",5,"[0,1,0,1]",state_to_state,2,0.16666666666666666
