session,trial_id,choice_left,decision_time_ms,signed_contrast,random_seed
churchlandlab | CSHL049 | 2020-01-08,1,0,265.7666666776315,0.125,70
churchlandlab | CSHL049 | 2020-01-08,12,1,687.700000069043,0.0,70
churchlandlab | CSHL049 | 2020-01-08,19,0,261.16666677204137,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,21,1,141.40000011488496,0.25,70
churchlandlab | CSHL049 | 2020-01-08,22,0,222.16666678595232,0.125,70
churchlandlab | CSHL049 | 2020-01-08,23,1,327.2666667960067,0.0,70
churchlandlab | CSHL049 | 2020-01-08,27,0,325.9333334838459,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,30,0,903.333333504662,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,32,1,142.6333335173524,1.0,70
churchlandlab | CSHL049 | 2020-01-08,36,0,186.53333353651647,0.125,70
churchlandlab | CSHL049 | 2020-01-08,37,1,2787.0666668833337,0.0,70
churchlandlab | CSHL049 | 2020-01-08,41,1,194.26666691978767,0.125,70
churchlandlab | CSHL049 | 2020-01-08,48,1,139.0666669489633,1.0,70
churchlandlab | CSHL049 | 2020-01-08,55,0,138.5000003169239,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,56,0,136.83333365889894,-0.125,70
churchlandlab | CSHL049 | 2020-01-08,64,1,693.400000371696,-0.0625,70
churchlandlab | CSHL049 | 2020-01-08,66,0,3604.0333337241464,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,70,0,255.03333374041404,0.125,70
churchlandlab | CSHL049 | 2020-01-08,71,1,190.5333337488173,0.25,70
churchlandlab | CSHL049 | 2020-01-08,72,0,175.0666670881742,0.25,70
churchlandlab | CSHL049 | 2020-01-08,74,0,601.2000004306515,0.125,70
churchlandlab | CSHL049 | 2020-01-08,76,0,429.4666671057712,0.125,70
churchlandlab | CSHL049 | 2020-01-08,77,0,3158.333333781343,1.0,70
churchlandlab | CSHL049 | 2020-01-08,79,0,397.8666671259816,1.0,70
churchlandlab | CSHL049 | 2020-01-08,81,0,755.5666671382824,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,85,0,599.5000004912754,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,88,0,280.9666671695936,0.25,70
churchlandlab | CSHL049 | 2020-01-08,91,0,551.3000005232129,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,94,1,142.63333387009425,1.0,70
churchlandlab | CSHL049 | 2020-01-08,96,0,238.80000055044093,0.125,70
churchlandlab | CSHL049 | 2020-01-08,98,1,103.23333390448397,1.0,70
churchlandlab | CSHL049 | 2020-01-08,100,0,129.00000057862826,0.0,70
churchlandlab | CSHL049 | 2020-01-08,103,0,252.30000059650592,0.125,70
churchlandlab | CSHL049 | 2020-01-08,105,0,126.9000006219585,0.25,70
churchlandlab | CSHL049 | 2020-01-08,108,0,2678.9666673124657,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,111,0,213.16666733764578,0.125,70
churchlandlab | CSHL049 | 2020-01-08,112,1,182.56666734646387,1.0,70
churchlandlab | CSHL049 | 2020-01-08,113,1,176.56666735013005,0.25,70
churchlandlab | CSHL049 | 2020-01-08,118,1,515.6666673813106,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,120,1,1785.8000007311148,0.0,70
churchlandlab | CSHL049 | 2020-01-08,125,1,442.86666743209935,0.0,70
churchlandlab | CSHL049 | 2020-01-08,135,0,414.5333341487003,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,143,0,118.43333418198654,0.125,70
churchlandlab | CSHL049 | 2020-01-08,145,1,202.1333341999707,0.25,70
churchlandlab | CSHL049 | 2020-01-08,159,0,101.23333426327008,-0.125,70
churchlandlab | CSHL049 | 2020-01-08,167,0,151.2666676298977,0.125,70
churchlandlab | CSHL049 | 2020-01-08,173,0,230.9000009946658,0.125,70
churchlandlab | CSHL049 | 2020-01-08,177,1,133.96666768448995,1.0,70
churchlandlab | CSHL049 | 2020-01-08,181,0,199.83333437096462,-0.0625,70
churchlandlab | CSHL049 | 2020-01-08,209,1,214.5666678377438,0.25,70
churchlandlab | CSHL049 | 2020-01-08,211,0,286.3000011843724,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,213,0,1060.5333345333747,0.125,70
churchlandlab | CSHL049 | 2020-01-08,216,1,381.96666788383027,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,218,1,126.06666789281462,1.0,70
churchlandlab | CSHL049 | 2020-01-08,223,1,379.100001251345,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,224,0,220.0666679218557,-0.125,70
churchlandlab | CSHL049 | 2020-01-08,227,1,215.73333460219146,0.125,70
churchlandlab | CSHL049 | 2020-01-08,230,1,264.9666679528764,0.25,70
churchlandlab | CSHL049 | 2020-01-08,231,1,169.60000129074615,0.25,70
churchlandlab | CSHL049 | 2020-01-08,233,1,159.30000130197186,0.25,70
churchlandlab | CSHL049 | 2020-01-08,235,0,1327.566667981955,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,237,1,383.9000013288114,0.125,70
churchlandlab | CSHL049 | 2020-01-08,244,0,538.6666680317376,-0.0625,70
churchlandlab | CSHL049 | 2020-01-08,251,0,280.6000014015808,-0.125,70
churchlandlab | CSHL049 | 2020-01-08,256,0,131.33333475843756,-0.125,70
churchlandlab | CSHL049 | 2020-01-08,259,0,239.36666812710428,0.125,70
churchlandlab | CSHL049 | 2020-01-08,261,0,389.00000146963976,-0.125,70
churchlandlab | CSHL049 | 2020-01-08,269,0,98.40000150347805,0.125,70
churchlandlab | CSHL049 | 2020-01-08,270,0,790.9000015115453,-0.0625,70
churchlandlab | CSHL049 | 2020-01-08,304,0,726.0000016888171,-0.0625,70
churchlandlab | CSHL049 | 2020-01-08,313,1,272.86666839972895,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,317,0,150.3000017512477,-0.0625,70
churchlandlab | CSHL049 | 2020-01-08,320,1,929.6666684397223,-0.0625,70
churchlandlab | CSHL049 | 2020-01-08,330,1,222.5000018229366,0.125,70
churchlandlab | CSHL049 | 2020-01-08,332,1,183.20000183575758,0.25,70
churchlandlab | CSHL049 | 2020-01-08,333,0,232.20000184164746,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,334,1,264.26666851398295,0.125,70
churchlandlab | CSHL049 | 2020-01-08,337,1,169.7666685333843,1.0,70
churchlandlab | CSHL049 | 2020-01-08,342,1,98.16666856431766,-0.125,70
churchlandlab | CSHL049 | 2020-01-08,343,0,502.96666856979755,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,344,1,135.20000191260806,1.0,70
churchlandlab | CSHL049 | 2020-01-08,345,1,217.80000191643012,0.0,70
churchlandlab | CSHL049 | 2020-01-08,346,1,387.43333525439994,0.125,70
churchlandlab | CSHL049 | 2020-01-08,347,1,385.4000019262003,0.0,70
churchlandlab | CSHL049 | 2020-01-08,352,1,153.73333528509647,1.0,70
churchlandlab | CSHL049 | 2020-01-08,353,0,390.20000195728244,0.125,70
churchlandlab | CSHL049 | 2020-01-08,354,1,635.2666686300381,0.0,70
churchlandlab | CSHL049 | 2020-01-08,355,1,241.70000196727415,0.25,70
churchlandlab | CSHL049 | 2020-01-08,360,1,146.0666686575678,-0.0625,70
churchlandlab | CSHL049 | 2020-01-08,365,0,257.36666868442626,-0.125,70
churchlandlab | CSHL049 | 2020-01-08,368,1,236.46666869717592,0.0,70
churchlandlab | CSHL049 | 2020-01-08,372,1,120.46666871606249,-0.0625,70
churchlandlab | CSHL049 | 2020-01-08,376,0,310.9666687371373,-0.0625,70
churchlandlab | CSHL049 | 2020-01-08,380,0,374.30000209019454,0.0,70
churchlandlab | CSHL049 | 2020-01-08,381,1,2036.766668766404,-0.0625,70
churchlandlab | CSHL049 | 2020-01-08,384,0,365.06666878244687,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,385,0,613.9666687879526,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,391,1,191.73333549088056,0.25,70
churchlandlab | CSHL049 | 2020-01-08,412,0,160.43333560401152,-0.125,70
churchlandlab | CSHL049 | 2020-01-08,438,0,389.4000024054094,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,441,1,347.766669091925,0.125,70
churchlandlab | CSHL049 | 2020-01-08,443,1,465.533335768896,0.125,70
churchlandlab | CSHL049 | 2020-01-08,448,1,1413.700002464111,0.25,70
churchlandlab | CSHL049 | 2020-01-08,451,0,823.7333358131309,0.0625,70
churchlandlab | CSHL049 | 2020-01-08,460,1,99.2666692018247,0.25,70
