source,target,count,probability
0,4,127,0.17349726775956284
0,2,171,0.2336065573770492
0,6,14,0.01912568306010929
0,8,171,0.2336065573770492
0,10,12,0.01639344262295082
0,3,4,0.00546448087431694
0,1,73,0.09972677595628415
0,12,9,0.012295081967213115
0,9,2,0.00273224043715847
0,5,1,0.001366120218579235
0,14,1,0.001366120218579235
4,6,26,0.15476190476190477
4,0,55,0.3273809523809524
4,2,8,0.047619047619047616
4,12,9,0.05357142857142857
4,14,1,0.005952380952380952
4,1,3,0.017857142857142856
4,5,18,0.10714285714285714
4,7,1,0.005952380952380952
4,8,3,0.017857142857142856
4,10,1,0.005952380952380952
6,4,13,0.19696969696969696
6,14,4,0.06060606060606061
6,2,10,0.15151515151515152
6,10,1,0.015151515151515152
6,8,1,0.015151515151515152
6,7,2,0.030303030303030304
6,0,2,0.030303030303030304
8,0,151,0.7512437810945274
8,12,5,0.024875621890547265
8,10,8,0.03980099502487562
8,4,6,0.029850746268656716
8,2,7,0.03482587064676617
8,9,2,0.009950248756218905
8,1,2,0.009950248756218905
8,14,1,0.004975124378109453
2,6,19,0.08597285067873303
2,0,92,0.416289592760181
2,10,18,0.08144796380090498
2,8,3,0.013574660633484163
2,1,2,0.00904977375565611
2,3,6,0.027149321266968326
2,4,3,0.013574660633484163
12,4,9,0.391304347826087
12,8,2,0.08695652173913043
12,5,2,0.08695652173913043
12,13,2,0.08695652173913043
12,0,2,0.08695652173913043
10,2,9,0.21428571428571427
10,6,3,0.07142857142857142
10,8,5,0.11904761904761904
10,0,7,0.16666666666666666
10,4,1,0.023809523809523808
1,2,6,0.06666666666666667
1,0,45,0.5
1,5,4,0.044444444444444446
1,3,5,0.05555555555555555
1,4,4,0.044444444444444446
1,11,2,0.022222222222222223
1,6,1,0.011111111111111112
1,8,2,0.022222222222222223
1,10,1,0.011111111111111112
7,6,1,0.125
7,5,6,0.75
9,8,1,0.25
9,11,1,0.25
9,1,1,0.25
9,0,1,0.25
3,2,7,0.4375
3,0,3,0.1875
3,1,2,0.125
3,11,1,0.0625
5,4,3,0.09375
5,0,3,0.09375
5,7,5,0.15625
5,1,6,0.1875
5,6,1,0.03125
5,13,1,0.03125
11,1,1,0.25
11,3,1,0.25
11,2,1,0.25
14,6,1,0.14285714285714285
14,10,1,0.14285714285714285
14,4,2,0.2857142857142857
13,5,1,0.3333333333333333
