state,bits,n_trials,left_choice_probability,mean_decision_time_ms,median_decision_time_ms,terminal_probability,end_count,outgoing_total
0,"[0,0,0,0]",386,0.5,207.2724514238511,189.45225779452812,0.20081967213114754,147,732
1,"[0,0,0,1]",66,0.3484848484848485,226.00154954988864,207.77491839821138,0.2222222222222222,20,90
2,"[0,0,1,0]",167,0.592814371257485,219.3840494963744,204.4157254568404,0.35294117647058826,78,221
3,"[0,0,1,1]",15,0.33333333333333337,237.16115218569104,223.176096725922,0.1875,3,16
4,"[0,1,0,0]",127,0.26771653543307095,224.22380182760452,213.30099419697035,0.25595238095238093,43,168
5,"[0,1,0,1]",24,0.16666666666666666,233.71241953913588,212.403697095354,0.40625,13,32
6,"[0,1,1,0]",57,0.29824561403508776,218.07268089498984,212.45077474591767,0.5,33,66
7,"[0,1,1,1]",7,0.0,270.03774628607454,252.98279256566047,0.125,1,8
8,"[1,0,0,0]",129,0.496124031007752,221.49906460154526,210.1013181101763,0.0945273631840796,19,201
9,"[1,0,0,1]",4,0.7500000000000001,218.09842532367796,178.96861603177427,0.0,0,4
10,"[1,0,1,0]",39,0.6410256410256414,231.80528598464707,214.12916724952424,0.40476190476190477,17,42
11,"[1,0,1,1]",3,0.3333333333333333,241.1204300383929,233.59211235481325,0.25,1,4
12,"[1,1,0,0]",22,0.2727272727272726,248.25330191702867,233.0364561021554,0.2608695652173913,6,23
13,"[1,1,0,1]",3,0.0,210.42693775411672,186.20311126801425,0.6666666666666666,2,3
14,"[1,1,1,0]",7,0.28571428571428575,206.89222815763588,213.6239766904282,0.42857142857142855,3,7
