source,source_bits,target,target_bits,transition_type,count,probability
0,"[0,0,0,0]",END,END,state_to_END,147,0.20081967213114754
0,"[0,0,0,0]",1,"[0,0,0,1]",state_to_state,73,0.09972677595628415
0,"[0,0,0,0]",2,"[0,0,1,0]",state_to_state,171,0.2336065573770492
0,"[0,0,0,0]",3,"[0,0,1,1]",state_to_state,4,0.00546448087431694
0,"[0,0,0,0]",4,"[0,1,0,0]",state_to_state,127,0.17349726775956284
0,"[0,0,0,0]",5,"[0,1,0,1]",state_to_state,1,0.001366120218579235
0,"[0,0,0,0]",6,"[0,1,1,0]",state_to_state,14,0.01912568306010929
0,"[0,0,0,0]",8,"[1,0,0,0]",state_to_state,171,0.2336065573770492
0,"[0,0,0,0]",9,"[1,0,0,1]",state_to_state,2,0.00273224043715847
0,"[0,0,0,0]",10,"[1,0,1,0]",state_to_state,12,0.01639344262295082
0,"[0,0,0,0]",12,"[1,1,0,0]",state_to_state,9,0.012295081967213115
0,"[0,0,0,0]",14,"[1,1,1,0]",state_to_state,1,0.001366120218579235
1,"[0,0,0,1]",END,END,state_to_END,20,0.2222222222222222
1,"[0,0,0,1]",0,"[0,0,0,0]",state_to_state,45,0.5
1,"[0,0,0,1]",2,"[0,0,1,0]",state_to_state,6,0.06666666666666667
1,"[0,0,0,1]",3,"[0,0,1,1]",state_to_state,5,0.05555555555555555
1,"[0,0,0,1]",4,"[0,1,0,0]",state_to_state,4,0.044444444444444446
1,"[0,0,0,1]",5,"[0,1,0,1]",state_to_state,4,0.044444444444444446
1,"[0,0,0,1]",6,"[0,1,1,0]",state_to_state,1,0.011111111111111112
1,"[0,0,0,1]",8,"[1,0,0,0]",state_to_state,2,0.022222222222222223
1,"[0,0,0,1]",10,"[1,0,1,0]",state_to_state,1,0.011111111111111112
1,"[0,0,0,1]",11,"[1,0,1,1]",state_to_state,2,0.022222222222222223
2,"[0,0,1,0]",END,END,state_to_END,78,0.35294117647058826
2,"[0,0,1,0]",0,"[0,0,0,0]",state_to_state,92,0.416289592760181
2,"[0,0,1,0]",1,"[0,0,0,1]",state_to_state,2,0.00904977375565611
2,"[0,0,1,0]",3,"[0,0,1,1]",state_to_state,6,0.027149321266968326
2,"[0,0,1,0]",4,"[0,1,0,0]",state_to_state,3,0.013574660633484163
2,"[0,0,1,0]",6,"[0,1,1,0]",state_to_state,19,0.08597285067873303
2,"[0,0,1,0]",8,"[1,0,0,0]",state_to_state,3,0.013574660633484163
2,"[0,0,1,0]",10,"[1,0,1,0]",state_to_state,18,0.08144796380090498
3,"[0,0,1,1]",END,END,state_to_END,3,0.1875
3,"[0,0,1,1]",0,"[0,0,0,0]",state_to_state,3,0.1875
3,"[0,0,1,1]",1,"[0,0,0,1]",state_to_state,2,0.125
3,"[0,0,1,1]",2,"[0,0,1,0]",state_to_state,7,0.4375
3,"[0,0,1,1]",11,"[1,0,1,1]",state_to_state,1,0.0625
4,"[0,1,0,0]",END,END,state_to_END,43,0.25595238095238093
4,"[0,1,0,0]",0,"[0,0,0,0]",state_to_state,55,0.3273809523809524
4,"[0,1,0,0]",1,"[0,0,0,1]",state_to_state,3,0.017857142857142856
4,"[0,1,0,0]",2,"[0,0,1,0]",state_to_state,8,0.047619047619047616
4,"[0,1,0,0]",5,"[0,1,0,1]",state_to_state,18,0.10714285714285714
4,"[0,1,0,0]",6,"[0,1,1,0]",state_to_state,26,0.15476190476190477
