session,speed,n_trials,decision_time_cutoff_ms,spn_i,spn_j,pearson_r
Hench_2017-06-18,fast,73,128.48339308288814,iSPN_left,iSPN_left,1.0
Hench_2017-06-18,fast,73,128.48339308288814,iSPN_left,dSPN_left,0.09158768633848204
Hench_2017-06-18,fast,73,128.48339308288814,iSPN_left,dSPN_right,0.2510946824380693
Hench_2017-06-18,fast,73,128.48339308288814,iSPN_left,iSPN_right,0.06299181781584991
Hench_2017-06-18,fast,73,128.48339308288814,dSPN_left,iSPN_left,0.09158768633848204
Hench_2017-06-18,fast,73,128.48339308288814,dSPN_left,dSPN_left,1.0
Hench_2017-06-18,fast,73,128.48339308288814,dSPN_left,dSPN_right,-0.11387629181247007
Hench_2017-06-18,fast,73,128.48339308288814,dSPN_left,iSPN_right,-0.03521655055406814
Hench_2017-06-18,fast,73,128.48339308288814,dSPN_right,iSPN_left,0.25109468243806926
Hench_2017-06-18,fast,73,128.48339308288814,dSPN_right,dSPN_left,-0.11387629181247007
Hench_2017-06-18,fast,73,128.48339308288814,dSPN_right,dSPN_right,1.0
Hench_2017-06-18,fast,73,128.48339308288814,dSPN_right,iSPN_right,0.2276468610314768
Hench_2017-06-18,fast,73,128.48339308288814,iSPN_right,iSPN_left,0.0629918178158499
Hench_2017-06-18,fast,73,128.48339308288814,iSPN_right,dSPN_left,-0.03521655055406814
Hench_2017-06-18,fast,73,128.48339308288814,iSPN_right,dSPN_right,0.2276468610314768
Hench_2017-06-18,fast,73,128.48339308288814,iSPN_right,iSPN_right,1.0
Hench_2017-06-18,slow,73,189.53755138772976,iSPN_left,iSPN_left,1.0
Hench_2017-06-18,slow,73,189.53755138772976,iSPN_left,dSPN_left,-0.06398219904932756
Hench_2017-06-18,slow,73,189.53755138772976,iSPN_left,dSPN_right,0.20712386924450135
Hench_2017-06-18,slow,73,189.53755138772976,iSPN_left,iSPN_right,0.059074987746600145
Hench_2017-06-18,slow,73,189.53755138772976,dSPN_left,iSPN_left,-0.06398219904932755
Hench_2017-06-18,slow,73,189.53755138772976,dSPN_left,dSPN_left,1.0
Hench_2017-06-18,slow,73,189.53755138772976,dSPN_left,dSPN_right,-0.18862460464415126
Hench_2017-06-18,slow,73,189.53755138772976,dSPN_left,iSPN_right,0.13332312998640844
Hench_2017-06-18,slow,73,189.53755138772976,dSPN_right,iSPN_left,0.20712386924450135
Hench_2017-06-18,slow,73,189.53755138772976,dSPN_right,dSPN_left,-0.18862460464415126
Hench_2017-06-18,slow,73,189.53755138772976,dSPN_right,dSPN_right,1.0
Hench_2017-06-18,slow,73,189.53755138772976,dSPN_right,iSPN_right,0.10774934643018877
Hench_2017-06-18,slow,73,189.53755138772976,iSPN_right,iSPN_left,0.05907498774660015
Hench_2017-06-18,slow,73,189.53755138772976,iSPN_right,dSPN_left,0.13332312998640844
Hench_2017-06-18,slow,73,189.53755138772976,iSPN_right,dSPN_right,0.10774934643018878
Hench_2017-06-18,slow,73,189.53755138772976,iSPN_right,iSPN_right,1.0
Lederberg_2017-12-11,fast,74,126.50092444755501,iSPN_left,iSPN_left,1.0
Lederberg_2017-12-11,fast,74,126.50092444755501,iSPN_left,dSPN_left,0.0494532135259243
Lederberg_2017-12-11,fast,74,126.50092444755501,iSPN_left,dSPN_right,0.20011974521643755
Lederberg_2017-12-11,fast,74,126.50092444755501,iSPN_left,iSPN_right,-0.05049681579723149
Lederberg_2017-12-11,fast,74,126.50092444755501,dSPN_left,iSPN_left,0.0494532135259243
Lederberg_2017-12-11,fast,74,126.50092444755501,dSPN_left,dSPN_left,1.0
Lederberg_2017-12-11,fast,74,126.50092444755501,dSPN_left,dSPN_right,-0.010896064133161638
Lederberg_2017-12-11,fast,74,126.50092444755501,dSPN_left,iSPN_right,-0.026189733514876468
Lederberg_2017-12-11,fast,74,126.50092444755501,dSPN_right,iSPN_left,0.20011974521643755
Lederberg_2017-12-11,fast,74,126.50092444755501,dSPN_right,dSPN_left,-0.010896064133161638
Lederberg_2017-12-11,fast,74,126.50092444755501,dSPN_right,dSPN_right,1.0
Lederberg_2017-12-11,fast,74,126.50092444755501,dSPN_right,iSPN_right,0.15718790992954088
Lederberg_2017-12-11,fast,74,126.50092444755501,iSPN_right,iSPN_left,-0.05049681579723149
Lederberg_2017-12-11,fast,74,126.50092444755501,iSPN_right,dSPN_left,-0.026189733514876468
Lederberg_2017-12-11,fast,74,126.50092444755501,iSPN_right,dSPN_right,0.15718790992954085
Lederberg_2017-12-11,fast,74,126.50092444755501,iSPN_right,iSPN_right,1.0
Lederberg_2017-12-11,slow,74,176.9785691480763,iSPN_left,iSPN_left,1.0
Lederberg_2017-12-11,slow,74,176.9785691480763,iSPN_left,dSPN_left,-0.054627898012396835
Lederberg_2017-12-11,slow,74,176.9785691480763,iSPN_left,dSPN_right,0.19017112840181666
Lederberg_2017-12-11,slow,74,176.9785691480763,iSPN_left,iSPN_right,-0.04165152074529279
Lederberg_2017-12-11,slow,74,176.9785691480763,dSPN_left,iSPN_left,-0.05462789801239683
Lederberg_2017-12-11,slow,74,176.9785691480763,dSPN_left,dSPN_left,1.0
Lederberg_2017-12-11,slow,74,176.9785691480763,dSPN_left,dSPN_right,-0.08495147377709222
Lederberg_2017-12-11,slow,74,176.9785691480763,dSPN_left,iSPN_right,-0.11449451577008304
Lederberg_2017-12-11,slow,74,176.9785691480763,dSPN_right,iSPN_left,0.19017112840181663
Lederberg_2017-12-11,slow,74,176.9785691480763,dSPN_right,dSPN_left,-0.08495147377709224
Lederberg_2017-12-11,slow,74,176.9785691480763,dSPN_right,dSPN_right,1.0
Lederberg_2017-12-11,slow,74,176.9785691480763,dSPN_right,iSPN_right,0.20941996679850547
Lederberg_2017-12-11,slow,74,176.9785691480763,iSPN_right,iSPN_left,-0.04165152074529279
