session,trial_id,choice_left,decision_time_ms,signed_contrast,evidence_magnitude,matching_seed
Hench_2017-06-18,0,1,242.87493810408733,0.0,0.0,2
Hench_2017-06-18,2,0,245.98453129720355,1.0,1.0,2
Hench_2017-06-18,3,1,231.33604304017297,-1.0,1.0,2
Hench_2017-06-18,4,0,210.1013181101763,0.5,0.5,2
Hench_2017-06-18,5,1,224.46814830576045,-0.25,0.25,2
Hench_2017-06-18,6,1,193.43050402324025,-0.75,0.75,2
Hench_2017-06-18,7,0,163.7961702026729,1.0,1.0,2
Hench_2017-06-18,8,0,145.7647417664134,0.5,0.5,2
Hench_2017-06-18,10,1,180.664845899841,-0.5,0.5,2
Hench_2017-06-18,14,1,226.10576679574024,-1.0,1.0,2
Hench_2017-06-18,15,0,183.67414746084876,0.5,0.5,2
Hench_2017-06-18,16,1,139.03904538962308,-1.0,1.0,2
Hench_2017-06-18,18,1,142.35950118151663,-0.5,0.5,2
Hench_2017-06-18,20,0,212.4780340187158,0.25,0.25,2
Hench_2017-06-18,21,0,140.00120429629703,0.0,0.0,2
Hench_2017-06-18,22,1,365.7703671802608,-0.25,0.25,2
Hench_2017-06-18,24,1,223.49140963629566,-0.5,0.5,2
Hench_2017-06-18,30,0,141.35174040956144,1.0,1.0,2
Hench_2017-06-18,31,0,203.47355577231951,0.5,0.5,2
Hench_2017-06-18,32,0,289.0401904132034,0.5,0.5,2
Hench_2017-06-18,33,0,216.80721150741533,0.5,0.5,2
Hench_2017-06-18,35,1,209.2978126129026,-0.25,0.25,2
Hench_2017-06-18,36,1,187.26405614435748,-0.75,0.75,2
Hench_2017-06-18,41,0,252.02350056534328,0.0,0.0,2
Hench_2017-06-18,44,0,265.6161287589214,0.5,0.5,2
Hench_2017-06-18,48,0,222.38334880788102,0.25,0.25,2
Hench_2017-06-18,50,0,159.07470885187536,1.0,1.0,2
Hench_2017-06-18,63,1,189.53755138772976,-0.5,0.5,2
Hench_2017-06-18,64,0,242.89681547838882,0.0,0.0,2
Hench_2017-06-18,66,1,204.4157254568404,-1.0,1.0,2
Hench_2017-06-18,67,0,157.17925450252324,1.0,1.0,2
Hench_2017-06-18,69,0,177.85801989180072,0.5,0.5,2
Hench_2017-06-18,70,0,159.4124323630126,0.0,0.0,2
Hench_2017-06-18,71,0,176.77362872041158,0.5,0.5,2
Hench_2017-06-18,72,1,165.1367806249482,0.5,0.5,2
Hench_2017-06-18,74,1,204.65452658714867,-0.75,0.75,2
Hench_2017-06-18,75,0,163.02252079896107,1.0,1.0,2
Hench_2017-06-18,78,1,228.88633090860822,-0.5,0.5,2
Hench_2017-06-18,79,0,246.45994964635065,0.25,0.25,2
Hench_2017-06-18,88,1,187.22948715935672,-0.5,0.5,2
Hench_2017-06-18,92,1,165.03162769299706,-0.5,0.5,2
Hench_2017-06-18,96,1,206.37225695685402,-1.0,1.0,2
Hench_2017-06-18,97,0,317.1425838569917,1.0,1.0,2
Hench_2017-06-18,100,0,265.61260515683216,1.0,1.0,2
Hench_2017-06-18,101,0,188.57866244570687,0.5,0.5,2
Hench_2017-06-18,107,1,185.03102669234295,0.0,0.0,2
Hench_2017-06-18,111,1,283.4630312245281,-0.75,0.75,2
Hench_2017-06-18,112,0,177.01958548542507,0.5,0.5,2
Hench_2017-06-18,113,0,156.37419351151038,1.0,1.0,2
Hench_2017-06-18,116,1,152.0667175715289,-0.5,0.5,2
Hench_2017-06-18,117,0,152.03237909497602,1.0,1.0,2
Hench_2017-06-18,119,0,226.07622865552912,0.5,0.5,2
Hench_2017-06-18,120,1,168.02170613880207,-1.0,1.0,2
Hench_2017-06-18,124,1,128.48339308288814,-0.5,0.5,2
Hench_2017-06-18,129,0,220.81277795064125,1.0,1.0,2
Hench_2017-06-18,130,1,188.18426421091772,-0.25,0.25,2
Hench_2017-06-18,131,0,218.15788760477517,0.25,0.25,2
Hench_2017-06-18,132,1,137.28610505631877,-1.0,1.0,2
Hench_2017-06-18,134,0,132.39085594227618,0.5,0.5,2
Hench_2017-06-18,135,0,253.7553581055363,0.0,0.0,2
Hench_2017-06-18,137,1,191.87640521772664,-0.25,0.25,2
Hench_2017-06-18,138,0,317.8298445714063,0.5,0.5,2
Hench_2017-06-18,139,1,263.6044317706592,-0.5,0.5,2
Hench_2017-06-18,140,1,198.76738346442835,-0.75,0.75,2
Hench_2017-06-18,141,0,156.73711904423726,0.5,0.5,2
Hench_2017-06-18,143,1,169.82480545323142,-0.25,0.25,2
Hench_2017-06-18,145,0,183.54857170720607,0.5,0.5,2
Hench_2017-06-18,147,0,187.65274058512205,1.0,1.0,2
Hench_2017-06-18,148,0,150.82421287706893,0.5,0.5,2
Hench_2017-06-18,152,0,164.63450152377845,1.0,1.0,2
Hench_2017-06-18,154,1,198.52722579469173,-1.0,1.0,2
Hench_2017-06-18,156,1,167.86746986122125,-0.75,0.75,2
Hench_2017-06-18,157,0,169.17533099842785,-0.5,0.5,2
Hench_2017-06-18,160,1,180.07445735815963,-1.0,1.0,2
Hench_2017-06-18,161,1,188.44186956198428,-0.5,0.5,2
Hench_2017-06-18,162,1,203.00927245341427,-0.25,0.25,2
Hench_2017-06-18,163,1,265.546224682339,-1.0,1.0,2
Hench_2017-06-18,164,1,169.51693803582657,-0.5,0.5,2
Hench_2017-06-18,165,1,322.87096405366356,-1.0,1.0,2
Hench_2017-06-18,166,1,139.2354662169737,0.0,0.0,2
Hench_2017-06-18,167,0,193.40752051698473,-0.75,0.75,2
Hench_2017-06-18,169,0,308.11364028602384,0.25,0.25,2
Hench_2017-06-18,173,0,195.74486725514362,0.25,0.25,2
Hench_2017-06-18,174,0,182.5161486486877,0.25,0.25,2
Hench_2017-06-18,175,1,199.68608443923586,-1.0,1.0,2
Hench_2017-06-18,176,0,151.45932137988893,0.0,0.0,2
Hench_2017-06-18,181,0,158.4395225369235,1.0,1.0,2
Hench_2017-06-18,183,0,186.77841634485048,1.0,1.0,2
Hench_2017-06-18,184,1,171.92954163431295,-1.0,1.0,2
Hench_2017-06-18,185,1,159.01992856095148,-1.0,1.0,2
Hench_2017-06-18,188,1,177.26067252647226,-0.75,0.75,2
Hench_2017-06-18,191,1,189.32060879012624,-0.75,0.75,2
Hench_2017-06-18,194,1,179.60071978211545,-0.5,0.5,2
Hench_2017-06-18,195,1,254.5564871680881,-0.5,0.5,2
Hench_2017-06-18,200,1,184.5440681876198,-0.5,0.5,2
Hench_2017-06-18,201,0,192.91013013253178,0.0,0.0,2
Hench_2017-06-18,202,1,174.47578699989208,-1.0,1.0,2
Hench_2017-06-18,203,0,188.43893424832459,0.0,0.0,2
Hench_2017-06-18,205,1,335.1628867446834,-1.0,1.0,2
Hench_2017-06-18,207,0,157.68219248866444,0.5,0.5,2
Hench_2017-06-18,209,1,135.3974148639736,-0.5,0.5,2
Hench_2017-06-18,210,1,189.36696420132648,-0.75,0.75,2
Hench_2017-06-18,212,0,224.67112376693876,0.5,0.5,2
Hench_2017-06-18,214,1,242.38713767329045,-1.0,1.0,2
Hench_2017-06-18,215,1,159.15066671902878,-1.0,1.0,2
Hench_2017-06-18,216,1,154.9211798617307,0.0,0.0,2
Hench_2017-06-18,218,0,248.83194638312034,0.5,0.5,2
Hench_2017-06-18,220,0,370.16676613438904,0.75,0.75,2
Hench_2017-06-18,221,1,171.93669726896132,-0.5,0.5,2
Hench_2017-06-18,223,1,139.07113056689013,-0.25,0.25,2
Hench_2017-06-18,224,0,223.24241661624455,0.5,0.5,2
Hench_2017-06-18,225,0,178.80963326535948,0.0,0.0,2
Hench_2017-06-18,226,1,206.57684060211068,-1.0,1.0,2
Hench_2017-06-18,229,0,196.82882896370302,1.0,1.0,2
Hench_2017-06-18,236,1,173.50641976850056,0.0,0.0,2
Hench_2017-06-18,241,0,213.30099419697035,0.75,0.75,2
Hench_2017-06-18,242,1,168.06743328311313,-0.25,0.25,2
Hench_2017-06-18,243,0,218.42786138995507,0.5,0.5,2
Hench_2017-06-18,250,0,205.72775008827193,0.0,0.0,2
Hench_2017-06-18,252,0,163.06354761320563,1.0,1.0,2
Hench_2017-06-18,253,0,200.63560656922164,0.25,0.25,2
Hench_2017-06-18,258,1,173.82746185603537,-1.0,1.0,2
Hench_2017-06-18,259,1,193.38885842444142,-0.25,0.25,2
Hench_2017-06-18,260,1,183.72619245064925,-0.75,0.75,2
Hench_2017-06-18,264,0,180.17547098247633,1.0,1.0,2
Hench_2017-06-18,265,1,207.94598412521736,-0.5,0.5,2
Hench_2017-06-18,267,1,318.41716944109066,0.0,0.0,2
Hench_2017-06-18,271,0,248.68196198031,0.5,0.5,2
Hench_2017-06-18,273,1,271.00630558629746,-0.5,0.5,2
Hench_2017-06-18,274,0,215.56944817871226,0.75,0.75,2
Hench_2017-06-18,275,0,166.1302627387613,0.0,0.0,2
Hench_2017-06-18,278,0,271.99195433922796,0.5,0.5,2
Hench_2017-06-18,284,1,179.34985760257405,-0.75,0.75,2
Hench_2017-06-18,288,1,199.58438572166415,-0.25,0.25,2
Hench_2017-06-18,289,0,230.35257083211036,0.75,0.75,2
Hench_2017-06-18,291,0,262.66837055959513,0.75,0.75,2
Hench_2017-06-18,292,0,178.42298324126205,0.75,0.75,2
Hench_2017-06-18,298,0,155.34170106502643,0.75,0.75,2
Hench_2017-06-18,300,1,205.66972296205677,0.0,0.0,2
Hench_2017-06-18,311,0,230.78222833942164,1.0,1.0,2
Hench_2017-06-18,312,1,151.34944498822733,-0.5,0.5,2
Hench_2017-06-18,313,1,195.11511582390995,0.25,0.25,2
Hench_2017-06-18,317,1,237.14751146530944,0.5,0.5,2
Hench_2017-06-18,321,0,177.3583634960687,0.75,0.75,2
Hench_2017-06-18,327,1,318.4925999828465,0.75,0.75,2
Hench_2017-06-18,333,0,240.97602018082398,1.0,1.0,2
Lederberg_2017-12-11,0,1,192.9822268882262,-0.5,0.5,4
Lederberg_2017-12-11,3,1,168.36481152813576,-0.25,0.25,4
Lederberg_2017-12-11,4,0,143.28989774628553,0.0,0.0,4
Lederberg_2017-12-11,7,1,337.66581300770326,0.0,0.0,4
Lederberg_2017-12-11,10,1,207.11878800284467,-0.5,0.5,4
Lederberg_2017-12-11,11,1,156.39369723675145,-1.0,1.0,4
Lederberg_2017-12-11,17,1,137.16175300623945,-1.0,1.0,4
Lederberg_2017-12-11,18,0,212.45077474591767,0.25,0.25,4
Lederberg_2017-12-11,19,1,176.9785691480763,-0.5,0.5,4
Lederberg_2017-12-11,21,0,222.79590887015388,0.25,0.25,4
Lederberg_2017-12-11,22,0,337.05355991679653,0.5,0.5,4
Lederberg_2017-12-11,25,0,149.6225249687484,0.25,0.25,4
Lederberg_2017-12-11,26,1,182.64589478567927,-0.75,0.75,4
Lederberg_2017-12-11,27,1,206.34509564055747,0.0,0.0,4
Lederberg_2017-12-11,29,1,152.41182546347432,-0.75,0.75,4
Lederberg_2017-12-11,30,1,136.35391524573492,-1.0,1.0,4
Lederberg_2017-12-11,33,1,149.20035873726079,-1.0,1.0,4
Lederberg_2017-12-11,36,1,139.76672193882678,-0.75,0.75,4
Lederberg_2017-12-11,37,1,152.58264726978155,0.25,0.25,4
Lederberg_2017-12-11,38,1,186.89681122287993,-0.75,0.75,4
Lederberg_2017-12-11,41,0,134.66093354568898,1.0,1.0,4
Lederberg_2017-12-11,42,1,254.5653852620262,-0.25,0.25,4
Lederberg_2017-12-11,43,1,157.10044176458382,0.0,0.0,4
Lederberg_2017-12-11,45,0,171.00046142260794,0.75,0.75,4
Lederberg_2017-12-11,46,1,179.1829839185084,-0.5,0.5,4
Lederberg_2017-12-11,47,0,159.91579065484984,1.0,1.0,4
Lederberg_2017-12-11,48,0,169.93193349352964,0.25,0.25,4
Lederberg_2017-12-11,49,0,154.15219381409884,0.75,0.75,4
Lederberg_2017-12-11,50,1,153.69303590355798,-1.0,1.0,4
Lederberg_2017-12-11,51,1,157.78788423338597,-1.0,1.0,4
Lederberg_2017-12-11,52,0,163.33301682522006,0.25,0.25,4
Lederberg_2017-12-11,56,1,136.3949053315423,-0.5,0.5,4
Lederberg_2017-12-11,59,1,155.18182934977176,-0.5,0.5,4
Lederberg_2017-12-11,60,1,162.53507165686187,-1.0,1.0,4
Lederberg_2017-12-11,61,0,161.90969246048326,0.5,0.5,4
