session,unit_id,lr_pref,final_label,final_name
Hench_2017-06-18,400,L,0,iSPN_left
Hench_2017-06-18,416,L,0,iSPN_left
Hench_2017-06-18,440,L,0,iSPN_left
Hench_2017-06-18,697,L,0,iSPN_left
Hench_2017-06-18,700,L,0,iSPN_left
Hench_2017-06-18,702,R,2,dSPN_right
Hench_2017-06-18,727,R,3,iSPN_right
Hench_2017-06-18,728,R,2,dSPN_right
Hench_2017-06-18,745,L,0,iSPN_left
Hench_2017-06-18,781,L,0,iSPN_left
Hench_2017-06-18,782,R,-1,unassigned
Hench_2017-06-18,808,R,2,dSPN_right
Hench_2017-06-18,819,R,2,dSPN_right
Hench_2017-06-18,828,L,1,dSPN_left
Hench_2017-06-18,832,L,0,iSPN_left
Hench_2017-06-18,833,L,0,iSPN_left
Hench_2017-06-18,835,R,2,dSPN_right
Hench_2017-06-18,845,R,2,dSPN_right
Hench_2017-06-18,855,R,2,dSPN_right
Hench_2017-06-18,877,L,0,iSPN_left
Hench_2017-06-18,881,R,2,dSPN_right
Hench_2017-06-18,939,L,0,iSPN_left
Hench_2017-06-18,962,L,1,dSPN_left
Hench_2017-06-18,963,R,2,dSPN_right
Hench_2017-06-18,968,R,2,dSPN_right
Hench_2017-06-18,969,R,2,dSPN_right
Hench_2017-06-18,1001,L,0,iSPN_left
Hench_2017-06-18,1021,L,0,iSPN_left
Hench_2017-06-18,1031,L,0,iSPN_left
Hench_2017-06-18,1032,R,2,dSPN_right
Hench_2017-06-18,1040,R,3,iSPN_right
Hench_2017-06-18,1043,R,2,dSPN_right
Hench_2017-06-18,1049,R,3,iSPN_right
Hench_2017-06-18,1052,R,2,dSPN_right
Hench_2017-06-18,1062,R,2,dSPN_right
Hench_2017-06-18,1096,L,0,iSPN_left
Hench_2017-06-18,1142,R,2,dSPN_right
Hench_2017-06-18,1152,R,2,dSPN_right
Hench_2017-06-18,1159,L,0,iSPN_left
Hench_2017-06-18,1161,L,0,iSPN_left
Hench_2017-06-18,1168,L,1,dSPN_left
Hench_2017-06-18,1183,R,2,dSPN_right
Hench_2017-06-18,1199,L,0,iSPN_left
Hench_2017-06-18,1201,R,2,dSPN_right
Hench_2017-06-18,1217,R,2,dSPN_right
Hench_2017-06-18,1249,R,2,dSPN_right
Hench_2017-06-18,1268,R,3,iSPN_right
Hench_2017-06-18,1301,R,-1,unassigned
Hench_2017-06-18,1326,R,2,dSPN_right
Hench_2017-06-18,1362,R,2,dSPN_right
Hench_2017-06-18,1365,L,-1,unassigned
Hench_2017-06-18,1380,L,0,iSPN_left
Hench_2017-06-18,1398,R,2,dSPN_right
Lederberg_2017-12-11,1,L,0,iSPN_left
Lederberg_2017-12-11,6,R,3,iSPN_right
Lederberg_2017-12-11,10,R,3,iSPN_right
Lederberg_2017-12-11,24,L,0,iSPN_left
Lederberg_2017-12-11,33,L,0,iSPN_left
Lederberg_2017-12-11,40,R,2,dSPN_right
Lederberg_2017-12-11,43,L,0,iSPN_left
Lederberg_2017-12-11,119,L,0,iSPN_left
Lederberg_2017-12-11,129,R,2,dSPN_right
Lederberg_2017-12-11,138,R,-1,unassigned
Lederberg_2017-12-11,149,L,0,iSPN_left
Lederberg_2017-12-11,154,L,1,dSPN_left
Lederberg_2017-12-11,168,L,0,iSPN_left
