network_id,median_decision_time_ms,speed_group
1,100.0,intermediate
2,210.0,slow
3,150.0,slow
4,125.0,slow
5,220.0,slow
6,90.0,fast
7,90.0,fast
8,170.0,slow
9,135.0,slow
10,100.0,intermediate
11,120.0,slow
12,100.0,intermediate
13,210.0,slow
14,180.0,slow
15,220.0,slow
16,120.0,slow
17,160.0,slow
18,150.0,slow
19,170.0,slow
20,200.0,slow
21,140.0,slow
22,150.0,slow
23,180.0,slow
24,170.0,slow
25,80.0,fast
26,220.0,slow
27,130.0,slow
28,140.0,slow
29,140.0,slow
30,160.0,slow
31,160.0,slow
32,160.0,slow
33,160.0,slow
34,90.0,fast
35,120.0,slow
36,90.0,fast
37,170.0,slow
38,100.0,intermediate
39,110.0,slow
40,110.0,intermediate
41,90.0,fast
42,145.0,slow
43,130.0,slow
44,90.0,fast
45,180.0,slow
46,150.0,slow
47,110.0,intermediate
48,90.0,fast
49,100.0,intermediate
50,120.0,slow
51,220.0,slow
52,105.0,intermediate
53,130.0,slow
54,90.0,fast
55,100.0,intermediate
56,100.0,intermediate
57,100.0,intermediate
58,100.0,intermediate
59,90.0,fast
60,245.0,slow
61,175.0,slow
62,100.0,intermediate
63,100.0,intermediate
64,110.0,slow
65,120.0,slow
66,100.0,intermediate
67,100.0,intermediate
68,130.0,slow
69,100.0,intermediate
70,110.0,intermediate
71,100.0,intermediate
72,120.0,slow
73,120.0,slow
74,110.0,intermediate
75,100.0,intermediate
76,130.0,slow
77,120.0,slow
78,100.0,intermediate
79,100.0,intermediate
80,130.0,slow
81,100.0,intermediate
82,145.0,slow
83,155.0,slow
84,150.0,slow
85,120.0,slow
86,75.0,fast
87,100.0,intermediate
88,110.0,slow
89,180.0,slow
90,120.0,slow
91,210.0,slow
92,120.0,slow
93,80.0,fast
94,120.0,slow
95,110.0,slow
96,160.0,slow
97,140.0,slow
98,90.0,fast
99,140.0,slow
100,110.0,slow
101,110.0,slow
102,100.0,intermediate
103,100.0,intermediate
104,90.0,intermediate
105,120.0,slow
106,100.0,intermediate
107,140.0,slow
108,100.0,intermediate
109,140.0,slow
110,230.0,slow
111,120.0,slow
112,100.0,intermediate
113,110.0,intermediate
114,100.0,intermediate
115,100.0,intermediate
116,105.0,intermediate
117,110.0,intermediate
118,120.0,slow
119,110.0,intermediate
120,100.0,intermediate
121,130.0,slow
122,80.0,fast
123,90.0,fast
124,190.0,slow
125,100.0,intermediate
126,100.0,intermediate
127,120.0,slow
128,160.0,slow
129,110.0,slow
130,100.0,intermediate
131,90.0,fast
132,110.0,slow
133,90.0,fast
134,100.0,intermediate
135,70.0,fast
136,120.0,slow
