,bin_num,Time(ms),chosen_action,seed,phase,block,trial_num,CxI_common,Cx_left,Cx_right,dSPN_left,dSPN_right,iSPN_left,iSPN_right,FSI_common,GPeP_left,GPeP_right,GPeA_left,GPeA_right,GPi_left,GPi_right,STN_left,STN_right,Th_left,Th_right,conflict
0,0,0.0,left,12_0,0,left,0,0.7738677093515803,0.0,0.0,3.070707070707071,2.5050505050505047,7.5555555555555545,5.858585858585858,7.1313131313131315,49.89989177489176,52.57575757575758,8.277511961722489,8.086124401913876,74.92929292929294,78.0,25.816161616161615,25.34343434343434,5.333333333333332,2.6060606060606055,No
1,1,10.0,left,12_0,0,left,0,0.7983056370153144,0.0,0.0,2.8484848484848486,2.707070707070707,6.444444444444444,5.636363636363637,7.01010101010101,52.66233766233765,51.38528138528139,8.484848484848483,7.177033492822965,76.42424242424242,77.53535353535352,25.395959595959596,25.167676767676767,4.767676767676766,2.606060606060606,No
2,2,20.0,left,12_0,0,left,0,0.8471814923427826,0.16339869281045752,0.1336898395721925,2.7070707070707076,2.848484848484848,5.373737373737373,4.969696969696969,6.929292929292928,54.58603896103896,51.32305194805195,8.086124401913874,6.658692185007974,75.63636363636364,77.75757575757575,24.296969696969697,25.551515151515147,4.545454545454545,2.3838383838383836,No
3,3,30.0,left,12_0,0,left,0,0.8145975887911372,1.72311348781937,1.5894236482471775,2.8686868686868685,2.888888888888889,4.424242424242423,3.939393939393939,7.2727272727272725,54.81872294372294,53.59307359307359,8.165869218500795,6.371610845295056,75.05050505050505,74.92929292929293,24.032323232323233,25.016161616161618,4.404040404040403,2.545454545454545,No
4,4,40.0,left,12_0,0,left,0,0.9856630824372761,5.481283422459892,5.52584670231729,2.6262626262626263,2.888888888888889,3.8585858585858586,3.737373737373737,9.03030303030303,55.708874458874455,52.92748917748918,8.61244019138756,6.355661881977671,75.13131313131315,74.18181818181819,23.537373737373738,24.783838383838383,4.929292929292928,4.484848484848485,No
5,5,50.0,left,12_0,0,left,0,1.4581296839361357,8.9349376114082,9.92275698158051,2.202020202020202,2.7676767676767677,2.7878787878787876,3.03030303030303,9.757575757575758,55.97673160173161,53.88257575757575,8.915470494417862,6.403508771929825,76.26262626262626,73.23232323232322,22.535353535353536,24.12929292929293,6.040404040404039,6.3232323232323235,No
6,6,60.0,left,12_0,0,left,0,2.231997393287716,12.648544266191323,14.371657754010696,2.747474747474748,2.929292929292929,2.424242424242424,3.4343434343434343,11.232323232323232,56.80194805194805,52.608225108225106,8.724082934609251,5.901116427432217,74.18181818181819,73.29292929292932,22.294949494949496,24.343434343434343,7.5353535353535355,8.404040404040403,No
7,7,70.0,left,12_0,0,left,0,2.9814271749755616,16.191325014854428,17.38710635769459,2.7878787878787876,2.808080808080808,3.1717171717171713,3.959595959595959,12.707070707070706,55.04329004329004,52.74891774891774,7.934609250398723,5.263157894736842,73.87878787878788,73.43434343434343,22.64242424242424,24.973737373737368,10.262626262626261,11.252525252525253,No
8,8,80.0,left,12_0,0,left,0,3.9100684261974576,19.563279857397504,20.773915626856805,3.090909090909091,4.3434343434343425,4.545454545454546,4.747474747474748,14.202020202020202,51.688311688311686,53.47943722943723,6.96969696969697,4.6092503987240825,75.23232323232322,69.99999999999999,23.99393939393939,24.321212121212117,12.565656565656566,15.757575757575756,No
9,9,90.0,left,12_0,0,left,0,4.781687846203974,22.155377302436122,23.29174093879976,4.04040404040404,6.040404040404041,5.373737373737374,6.484848484848484,15.474747474747472,51.94534632034631,50.56547619047619,5.5342902711323765,4.4657097288676235,74.3030303030303,68.4040404040404,24.957575757575754,25.16969696969697,14.606060606060606,21.31313131313131,No
