,dSPN_left,dSPN_right,iSPN_left,iSPN_right,GPi_left,GPi_right,GPeP_left,GPeP_right,Th_left,Th_right,state_num,state_num_full,chosen_action,trial_num,bin_num,seed,phase,block
0,0,0,0,0,1,1,1,1,0,0,60,816,right,0,0,239_0,0,left
1,0,0,0,0,1,1,1,1,0,0,60,816,right,0,1,239_0,0,left
2,0,0,0,0,1,1,1,1,0,0,60,816,right,0,2,239_0,0,left
3,0,0,0,0,1,1,1,1,0,0,60,816,right,0,3,239_0,0,left
4,0,0,0,0,1,1,1,1,0,0,60,816,right,0,4,239_0,0,left
5,0,0,0,0,1,1,1,1,0,0,60,816,right,0,5,239_0,0,left
6,0,0,0,0,1,1,1,1,0,0,60,99120,right,0,6,239_0,0,left
7,0,0,0,0,1,1,1,1,0,0,60,100144,right,0,7,239_0,0,left
8,0,0,0,0,1,1,1,1,1,1,63,231219,right,0,8,239_0,0,left
9,0,0,0,0,1,1,1,1,1,1,63,231219,right,0,9,239_0,0,left
10,0,0,0,0,1,1,1,1,1,1,63,231283,right,0,10,239_0,0,left
11,0,1,0,0,1,1,1,0,1,1,315,239223,right,0,11,239_0,0,left
12,0,1,0,1,1,0,1,0,1,1,363,241255,right,0,12,239_0,1,left
13,1,1,1,1,1,0,1,0,1,1,1003,261735,right,0,13,239_0,1,left
14,1,1,1,1,1,0,1,0,1,1,1003,261735,right,0,14,239_0,1,left
15,0,1,1,1,1,0,1,0,1,1,491,179815,right,0,15,239_0,1,left
16,0,1,1,1,1,0,1,0,1,1,491,179815,right,0,16,239_0,1,left
17,0,1,1,1,1,0,1,0,1,1,491,179943,right,0,17,239_0,1,left
18,0,1,0,1,1,0,1,0,1,1,363,174823,right,0,18,239_0,1,left
19,0,1,0,1,1,0,1,0,0,1,361,174821,right,0,19,239_0,1,left
20,0,1,0,1,1,1,1,0,0,1,377,174709,right,0,20,239_0,1,left
21,0,1,0,1,1,1,1,0,0,1,377,174709,right,0,21,239_0,1,left
22,0,1,0,1,1,1,1,0,0,1,377,174709,right,0,22,239_0,1,left
23,0,1,0,1,1,1,1,0,0,1,377,174709,right,0,23,239_0,1,left
24,0,1,0,1,1,1,1,0,0,1,377,174709,right,0,24,239_0,1,left
25,0,1,0,1,1,1,1,0,0,1,377,174709,right,0,25,239_0,1,left
26,0,1,0,1,1,0,1,0,0,1,361,174693,right,0,26,239_0,1,left
27,0,1,0,1,1,0,1,0,0,1,361,174693,right,0,27,239_0,1,left
28,0,1,0,1,1,0,1,0,0,1,361,174693,right,0,28,239_0,1,left
29,0,1,0,1,1,0,1,0,0,1,361,174693,right,0,29,239_0,1,left
30,0,1,0,1,1,0,1,0,0,1,361,174693,right,0,30,239_0,1,left
31,0,1,0,1,1,0,1,0,0,1,361,174693,right,0,31,239_0,1,left
32,0,1,0,1,1,0,1,0,0,1,361,174693,right,0,32,239_0,1,left
33,0,1,0,1,1,0,1,0,0,1,361,174693,right,0,33,239_0,1,left
34,0,1,0,1,1,0,1,0,0,1,361,174693,right,0,34,239_0,1,left
35,0,1,0,1,1,0,1,0,0,1,361,174693,right,0,35,239_0,1,left
36,0,1,0,1,1,0,1,0,0,1,361,174693,right,0,36,239_0,1,left
37,0,1,0,1,1,0,1,0,0,1,361,174693,right,0,37,239_0,1,left
38,0,1,0,1,1,0,1,0,0,1,361,174693,right,0,38,239_0,1,left
39,0,1,0,1,1,0,1,0,0,1,361,141925,right,0,39,239_0,1,left
40,0,1,0,1,1,0,1,0,0,1,361,141925,right,0,40,239_0,1,left
41,0,1,0,1,1,0,1,0,0,1,361,10853,right,0,41,239_0,1,left
42,0,1,0,1,1,0,1,0,0,1,361,10853,right,0,42,239_0,2,left
43,0,1,0,1,1,0,1,0,0,1,361,10853,right,0,43,239_0,2,left
44,0,1,0,1,1,0,1,0,0,1,361,10853,right,0,44,239_0,2,left
45,0,1,0,1,1,0,1,1,0,1,365,11105,right,0,45,239_0,2,left
46,0,1,0,0,1,0,1,1,0,1,301,9057,right,0,46,239_0,2,left
47,0,1,0,1,1,0,1,1,0,1,365,11105,right,0,47,239_0,2,left
48,0,1,0,1,1,0,1,0,0,1,361,10853,right,0,48,239_0,2,left
49,0,1,0,0,1,0,1,1,0,1,301,9061,right,0,49,239_0,2,left
50,0,0,0,0,1,0,1,1,0,1,45,865,right,0,50,239_0,2,left
51,0,0,0,0,1,1,1,1,0,0,60,880,right,0,51,239_0,2,left
52,0,0,0,0,1,1,1,1,0,0,60,884,right,0,52,239_0,2,left
53,0,0,0,0,1,1,1,1,0,0,60,880,right,0,53,239_0,2,left
54,0,0,0,0,1,1,1,1,0,0,60,880,right,0,54,239_0,2,left
55,0,0,0,0,1,1,1,1,0,0,60,816,right,0,55,239_0,2,left
56,0,0,0,0,1,1,1,1,0,0,60,816,right,0,56,239_0,2,left
57,0,0,0,0,1,1,1,1,0,0,60,816,right,0,57,239_0,2,left
58,0,0,0,0,1,1,1,1,0,0,60,816,right,0,58,239_0,2,left
59,0,0,0,0,1,1,1,1,0,0,60,816,right,0,59,239_0,2,left
60,0,0,0,0,1,1,1,1,0,0,60,816,right,0,60,239_0,2,left
61,0,0,0,0,1,1,1,1,0,0,60,816,right,0,61,239_0,2,left
62,0,0,0,0,1,1,1,1,0,0,60,816,right,0,62,239_0,2,left
63,0,0,0,0,1,1,1,1,0,0,60,816,right,0,63,239_0,2,left
64,0,0,0,0,1,1,1,1,0,0,60,816,right,0,64,239_0,2,left
65,0,0,0,0,1,1,1,1,0,0,60,816,right,0,65,239_0,2,left
66,0,0,0,0,1,1,1,1,0,0,60,816,right,0,66,239_0,2,left
67,0,0,0,0,1,1,1,1,0,0,60,816,right,0,67,239_0,2,left
68,0,0,0,0,1,1,1,1,0,0,60,816,right,0,68,239_0,2,left
69,0,0,0,0,1,1,1,1,0,0,60,816,right,0,69,239_0,2,left
70,0,0,0,0,1,1,1,1,0,0,60,816,right,0,70,239_0,2,left
71,0,0,0,0,1,1,1,1,0,0,60,944,right,0,71,239_0,2,left
72,0,0,0,0,1,1,1,1,0,0,60,944,right,0,72,239_0,2,left
73,0,0,0,0,1,1,1,1,0,0,60,944,right,0,73,239_0,2,left
74,0,0,0,0,1,1,1,1,0,0,60,944,right,0,74,239_0,2,left
75,0,0,0,0,1,1,1,1,0,0,60,816,right,0,75,239_0,2,left
76,0,0,0,0,1,1,1,1,0,0,60,816,right,0,76,239_0,2,left
77,0,0,0,0,1,1,1,1,0,0,60,816,right,0,77,239_0,2,left
78,0,0,0,0,1,1,1,1,0,0,60,816,right,0,78,239_0,2,left
79,0,0,0,0,1,1,1,1,0,0,60,816,right,0,79,239_0,2,left
80,0,0,0,0,1,1,1,1,0,0,60,816,right,0,80,239_0,2,left
81,0,0,0,0,1,1,1,1,0,0,60,816,right,0,81,239_0,2,left
82,0,0,0,0,1,1,1,1,0,0,60,816,right,0,82,239_0,2,left
83,0,0,0,0,1,1,1,1,0,0,60,816,right,0,83,239_0,2,left
84,0,0,0,0,1,1,1,1,0,0,60,816,right,0,84,239_0,2,left
85,0,0,0,0,1,1,1,1,0,0,60,816,right,0,85,239_0,2,left
86,0,0,0,0,1,1,1,1,0,0,60,816,right,0,86,239_0,2,left
87,0,0,0,0,1,1,1,1,0,0,60,816,right,0,87,239_0,2,left
88,0,0,0,0,1,1,1,1,0,0,60,816,right,0,88,239_0,2,left
89,0,0,0,0,1,1,1,1,0,0,60,816,right,0,89,239_0,2,left
90,0,0,0,0,1,1,1,1,0,0,60,816,right,0,90,239_0,2,left
91,0,0,0,0,1,1,1,1,0,0,60,816,right,0,91,239_0,2,left
92,0,0,0,0,1,1,1,1,0,0,60,816,right,0,92,239_0,2,left
93,0,0,0,0,1,1,1,1,0,0,60,816,right,0,93,239_0,2,left
94,0,0,0,0,1,1,1,1,0,0,60,816,right,0,94,239_0,2,left
95,0,0,0,0,1,1,1,1,0,0,60,816,right,0,95,239_0,2,left
96,0,0,0,0,1,1,1,1,0,0,60,816,right,0,96,239_0,2,left
97,0,0,0,0,1,1,1,1,0,0,60,816,right,1,97,239_0,0,left
98,0,0,0,0,1,1,1,1,0,0,60,880,right,1,98,239_0,0,left
99,0,0,0,0,1,1,1,1,0,0,60,880,right,1,99,239_0,0,left
100,0,0,0,0,1,1,1,1,0,0,60,880,right,1,100,239_0,0,left
101,0,0,0,0,1,1,1,1,0,0,60,33584,right,1,101,239_0,0,left
102,0,0,0,0,1,1,1,1,0,0,60,100144,right,1,102,239_0,0,left
103,0,0,0,0,1,1,1,1,0,1,61,231217,right,1,103,239_0,0,left
104,0,0,0,0,1,1,1,1,1,1,63,231219,right,1,104,239_0,0,left
105,0,1,0,0,1,0,1,1,1,1,303,239395,right,1,105,239_0,0,left
106,1,1,1,1,1,0,1,0,1,1,1003,261671,right,1,106,239_0,1,left
107,1,1,1,1,1,0,1,0,1,1,1003,261743,right,1,107,239_0,1,left
108,1,1,1,1,1,0,1,0,1,1,1003,261743,right,1,108,239_0,1,left
109,0,1,1,1,1,0,1,0,1,1,491,179815,right,1,109,239_0,1,left
110,0,1,1,1,1,0,1,0,1,1,491,179815,right,1,110,239_0,1,left
111,0,1,0,1,1,0,1,0,1,1,363,175719,right,1,111,239_0,1,left
112,0,1,0,1,1,0,1,0,0,1,361,174693,right,1,112,239_0,1,left
113,0,1,0,1,1,0,1,0,0,1,361,174693,right,1,113,239_0,1,left
114,0,1,0,1,1,0,1,0,0,1,361,174693,right,1,114,239_0,1,left
115,0,1,0,1,1,0,1,0,0,1,361,174693,right,1,115,239_0,1,left
116,0,1,0,1,1,0,1,0,0,1,361,174693,right,1,116,239_0,1,left
117,0,1,0,1,1,0,1,0,0,1,361,174693,right,1,117,239_0,1,left
118,0,1,0,1,1,0,1,0,0,1,361,174693,right,1,118,239_0,1,left
119,0,1,0,1,1,1,1,0,0,1,377,174709,right,1,119,239_0,1,left
120,0,1,0,1,1,1,1,0,0,1,377,174709,right,1,120,239_0,1,left
121,0,1,0,1,1,0,1,0,0,1,361,174693,right,1,121,239_0,1,left
122,0,1,0,1,1,0,1,0,0,1,361,174693,right,1,122,239_0,1,left
123,0,1,0,1,1,0,1,0,0,1,361,175717,right,1,123,239_0,1,left
124,0,1,0,1,1,0,1,0,0,1,361,174693,right,1,124,239_0,1,left
125,0,1,0,1,1,0,1,0,0,1,361,174693,right,1,125,239_0,1,left
126,0,1,0,1,1,1,1,0,0,1,377,174709,right,1,126,239_0,1,left
127,0,1,0,1,1,1,1,0,0,1,377,174709,right,1,127,239_0,1,left
128,0,0,0,1,1,1,1,0,0,1,121,166517,right,1,128,239_0,1,left
129,0,1,0,1,1,1,1,0,0,1,377,174709,right,1,129,239_0,1,left
130,0,1,0,1,1,1,1,0,0,1,377,174709,right,1,130,239_0,1,left
131,0,1,0,1,1,1,1,0,0,1,377,174709,right,1,131,239_0,1,left
132,0,1,0,1,1,0,1,0,0,1,361,174693,right,1,132,239_0,1,left
133,0,1,0,1,1,0,1,0,0,1,361,141925,right,1,133,239_0,1,left
134,0,1,0,1,1,0,1,0,0,1,361,141925,right,1,134,239_0,1,left
135,0,1,0,1,1,0,1,0,0,1,361,141925,right,1,135,239_0,1,left
136,0,1,0,1,1,0,1,0,0,1,361,141925,right,1,136,239_0,2,left
137,0,1,0,1,1,0,1,0,0,1,361,10853,right,1,137,239_0,2,left
138,0,1,0,1,1,0,1,0,0,1,361,10853,right,1,138,239_0,2,left
