object,unit_id,stageA_lr,cluster4,n_common_trials_stageB
Hench_2017-06-18,400,0,0,45
Hench_2017-06-18,410,0,0,45
Hench_2017-06-18,416,0,0,45
Hench_2017-06-18,436,1,2,45
Hench_2017-06-18,440,1,2,45
Hench_2017-06-18,480,0,0,45
Hench_2017-06-18,483,0,0,45
Hench_2017-06-18,561,0,0,45
Hench_2017-06-18,562,0,0,45
Hench_2017-06-18,578,0,0,45
Hench_2017-06-18,605,0,0,45
Hench_2017-06-18,629,0,0,45
Hench_2017-06-18,638,0,0,45
Hench_2017-06-18,656,1,2,45
Hench_2017-06-18,697,1,2,45
Hench_2017-06-18,698,1,2,45
Hench_2017-06-18,699,0,0,45
Hench_2017-06-18,700,0,0,45
Hench_2017-06-18,701,1,2,45
Hench_2017-06-18,702,0,0,45
Hench_2017-06-18,703,1,2,45
Hench_2017-06-18,716,0,0,45
Hench_2017-06-18,726,0,0,45
Hench_2017-06-18,727,0,0,45
Hench_2017-06-18,728,1,2,45
Hench_2017-06-18,737,0,0,45
Hench_2017-06-18,743,0,0,45
Hench_2017-06-18,745,0,0,45
Hench_2017-06-18,760,1,2,45
Hench_2017-06-18,764,1,2,45
Hench_2017-06-18,776,1,2,45
Hench_2017-06-18,777,0,0,45
Hench_2017-06-18,780,0,0,45
Hench_2017-06-18,781,0,0,45
Hench_2017-06-18,782,0,0,45
Hench_2017-06-18,786,0,0,45
Hench_2017-06-18,792,0,0,45
Hench_2017-06-18,794,0,0,45
Hench_2017-06-18,797,0,0,45
Hench_2017-06-18,808,0,0,45
Hench_2017-06-18,809,0,0,45
Hench_2017-06-18,814,0,0,45
Hench_2017-06-18,815,1,2,45
Hench_2017-06-18,819,0,0,45
Hench_2017-06-18,821,0,0,45
Hench_2017-06-18,828,0,0,45
Hench_2017-06-18,830,0,0,45
Hench_2017-06-18,832,0,0,45
Hench_2017-06-18,833,1,2,45
Hench_2017-06-18,835,0,0,45
Hench_2017-06-18,840,0,0,45
Hench_2017-06-18,843,0,0,45
Hench_2017-06-18,845,0,0,45
Hench_2017-06-18,848,0,0,45
Hench_2017-06-18,851,0,0,45
Hench_2017-06-18,855,0,0,45
Hench_2017-06-18,856,1,2,45
Hench_2017-06-18,859,0,0,45
Hench_2017-06-18,862,0,0,45
Hench_2017-06-18,865,0,0,45
Hench_2017-06-18,867,0,0,45
Hench_2017-06-18,871,0,0,45
Hench_2017-06-18,875,0,0,45
Hench_2017-06-18,877,1,2,45
Hench_2017-06-18,881,0,0,45
Hench_2017-06-18,883,0,0,45
Hench_2017-06-18,887,0,0,45
Hench_2017-06-18,891,1,2,45
Hench_2017-06-18,895,1,2,45
Hench_2017-06-18,899,0,0,45
Hench_2017-06-18,901,0,0,45
Hench_2017-06-18,902,1,3,45
Hench_2017-06-18,909,0,0,45
Hench_2017-06-18,910,0,0,45
Hench_2017-06-18,915,0,0,45
Hench_2017-06-18,916,0,0,45
Hench_2017-06-18,930,1,2,45
Hench_2017-06-18,931,0,0,45
Hench_2017-06-18,934,0,0,45
Hench_2017-06-18,937,0,0,45
Hench_2017-06-18,939,0,0,45
Hench_2017-06-18,942,0,0,45
Hench_2017-06-18,947,1,2,45
Hench_2017-06-18,949,0,0,45
Hench_2017-06-18,954,0,0,45
Hench_2017-06-18,955,0,0,45
Hench_2017-06-18,962,0,0,45
Hench_2017-06-18,963,1,2,45
Hench_2017-06-18,966,0,0,45
Hench_2017-06-18,968,1,2,45
Hench_2017-06-18,969,1,2,45
Hench_2017-06-18,974,0,0,45
Hench_2017-06-18,983,0,0,45
Hench_2017-06-18,984,0,0,45
Hench_2017-06-18,985,0,0,45
Hench_2017-06-18,992,1,2,45
Hench_2017-06-18,993,0,0,45
Hench_2017-06-18,1001,0,0,45
Hench_2017-06-18,1002,0,0,45
Hench_2017-06-18,1014,1,2,45
Hench_2017-06-18,1020,0,0,45
Hench_2017-06-18,1021,0,0,45
Hench_2017-06-18,1022,1,2,45
Hench_2017-06-18,1025,0,0,45
Hench_2017-06-18,1031,1,2,45
Hench_2017-06-18,1032,1,2,45
Hench_2017-06-18,1034,0,0,45
Hench_2017-06-18,1035,1,2,45
Hench_2017-06-18,1040,0,0,45
Hench_2017-06-18,1041,1,2,45
Hench_2017-06-18,1042,1,2,45
Hench_2017-06-18,1043,1,2,45
Hench_2017-06-18,1044,1,2,45
Hench_2017-06-18,1049,0,0,45
Hench_2017-06-18,1052,1,2,45
Hench_2017-06-18,1057,0,0,45
Hench_2017-06-18,1062,0,0,45
Hench_2017-06-18,1071,0,0,45
