ccf_ap	ccf_dv	ccf_lr	allen_ontology
5667.7	4353.5	5273.7	PT
5688.9	4353.5	5249.8	PT
5651	4335.2	5280.4	PT
5672.3	4335.2	5256.4	PT
5655.6	4316.9	5263.1	PT
5676.8	4316.9	5239.1	PT
5639	4298.6	5269.7	PT
5660.2	4298.6	5245.8	PT
5643.6	4280.3	5252.4	PT
5664.8	4280.3	5228.5	PT
5627	4262	5259.1	PT
5648.2	4262	5235.1	PT
5631.5	4243.6	5241.8	PT
5652.8	4243.6	5217.8	PT
5614.9	4225.3	5248.4	PT
5636.1	4225.3	5224.4	PT
5619.5	4207	5231.1	PT
5640.7	4207	5207.1	PT
5602.9	4188.7	5237.7	PT
5624.1	4188.7	5213.8	PT
5607.4	4170.4	5220.4	PT
5628.7	4170.4	5196.5	PT
5590.8	4152.1	5227.1	PT
5612	4152.1	5203.1	PT
5595.4	4133.8	5209.8	PT
5616.6	4133.8	5185.8	PT
5578.8	4115.5	5216.4	PT
5600	4115.5	5192.4	PT
5583.4	4097.2	5199.1	PT
5604.6	4097.2	5175.1	PT
5566.7	4078.8	5205.7	PT
5587.9	4078.8	5181.8	PT
5571.3	4060.5	5188.4	PT
5592.5	4060.5	5164.5	PT
5554.7	4042.2	5195.1	PT
5575.9	4042.2	5171.1	PT
5580.5	4023.9	5153.8	PT
5542.6	4005.6	5184.4	PT
5563.9	4005.6	5160.5	PT
5547.2	3987.3	5167.1	PT
5568.4	3987.3	5143.1	PT
5530.6	3969	5173.8	PT
5551.8	3969	5149.8	PT
5535.2	3950.7	5156.4	PT
5556.4	3950.7	5132.5	PT
5518.6	3932.4	5163.1	PT
5539.8	3932.4	5139.1	PT
5523.1	3914	5145.8	PT
5544.4	3914	5121.8	PT
5506.5	3895.7	5152.4	PT
5527.7	3895.7	5128.5	root
5511.1	3877.4	5135.1	root
5532.3	3877.4	5111.2	root
5494.5	3859.1	5141.8	root
5515.7	3859.1	5117.8	root
5499.1	3840.8	5124.4	root
5520.3	3840.8	5100.5	root
5482.4	3822.5	5131.1	root
5503.6	3822.5	5107.1	root
5487	3804.2	5113.8	root
5508.2	3804.2	5089.8	root
5470.4	3785.9	5120.4	root
5491.6	3785.9	5096.5	root
5475	3767.6	5103.1	root
5496.2	3767.6	5079.2	root
5458.3	3749.2	5109.8	root
5479.6	3749.2	5085.8	root
5462.9	3730.9	5092.5	root
5484.1	3730.9	5068.5	root
5446.3	3712.6	5099.1	root
5467.5	3712.6	5075.1	root
5450.9	3694.3	5081.8	root
5472.1	3694.3	5057.8	root
5434.3	3676	5088.4	root
5438.8	3657.7	5071.1	root
5460.1	3657.7	5047.2	root
5422.2	3639.4	5077.8	root
5443.4	3639.4	5053.8	root
5426.8	3621.1	5060.5	root
5448	3621.1	5036.5	root
5410.2	3602.7	5067.1	LSc
5431.4	3602.7	5043.2	LSc
5414.7	3584.4	5049.8	LSc
5436	3584.4	5025.8	LSc
5398.1	3566.1	5056.4	LSc
5419.3	3566.1	5032.5	LSc
5402.7	3547.8	5039.1	LSc
5423.9	3547.8	5015.2	LSc
5386.1	3529.5	5045.8	LSc
5407.3	3529.5	5021.8	LSc
5390.7	3511.2	5028.5	LSc
5411.9	3511.2	5004.5	LSc
5374	3492.9	5035.1	LSc
5395.2	3492.9	5011.2	LSc
5378.6	3474.6	5017.8	LSc
5399.8	3474.6	4993.9	LSc
5362	3456.3	5024.5	LSc
5383.2	3456.3	5000.5	LSc
5366.6	3437.9	5007.1	LSc
5387.8	3437.9	4983.2	LSc
5349.9	3419.6	5013.8	LSc
5371.2	3419.6	4989.8	LSc
5354.5	3401.3	4996.5	LSc
5375.7	3401.3	4972.5	LSc
5337.9	3383	5003.1	LSc
5359.1	3383	4979.2	LSc
5342.5	3364.7	4985.8	LSc
5363.7	3364.7	4961.9	LSc
5325.9	3346.4	4992.5	LSc
5347.1	3346.4	4968.5	LSc
5351.7	3328.1	4951.2	LSc
5313.8	3309.8	4981.8	LSc
5335	3309.8	4957.8	LSc
5318.4	3291.5	4964.5	LSc
5339.6	3291.5	4940.5	LSc
5301.8	3273.1	4971.1	LSc
5323	3273.1	4947.2	LSc
5306.4	3254.8	4953.8	LSc
5327.6	3254.8	4929.9	LSc
5289.7	3236.5	4960.5	LSc
5310.9	3236.5	4936.5	LSc
5294.3	3218.2	4943.2	LSc
5315.5	3218.2	4919.2	LSc
5277.7	3199.9	4949.8	LSc
5298.9	3199.9	4925.9	LSc
5282.3	3181.6	4932.5	LSc
5303.5	3181.6	4908.5	LSc
5265.6	3163.3	4939.1	LSc
5286.9	3163.3	4915.2	LSc
5270.2	3145	4921.8	LSc
5291.4	3145	4897.9	LSc
5253.6	3126.7	4928.5	LSc
5274.8	3126.7	4904.5	LSc
5258.2	3108.3	4911.2	LSc
5279.4	3108.3	4887.2	LSc
5241.6	3090	4917.8	LSc
5262.8	3090	4893.9	LSc
5246.1	3071.7	4900.5	LSc
5267.3	3071.7	4876.5	LSc
5229.5	3053.4	4907.2	LSc
5250.7	3053.4	4883.2	root
5234.1	3035.1	4889.8	root
5255.3	3035.1	4865.9	root
5217.5	3016.8	4896.5	root
5238.7	3016.8	4872.5	root
5222	2998.5	4879.2	root
5243.3	2998.5	4855.2	root
5205.4	2980.2	4885.8	root
5210	2961.9	4868.5	root
5231.2	2961.9	4844.6	root
5193.4	2943.5	4875.2	root
5214.6	2943.5	4851.2	root
5198	2925.2	4857.8	root
5219.2	2925.2	4833.9	root
5181.3	2906.9	4864.5	root
5202.5	2906.9	4840.5	root
5185.9	2888.6	4847.2	root
5207.1	2888.6	4823.2	root
5169.3	2870.3	4853.8	root
5190.5	2870.3	4829.9	root
5173.9	2852	4836.5	root
5195.1	2852	4812.6	root
5157.2	2833.7	4843.2	root
5178.5	2833.7	4819.2	root
5161.8	2815.4	4825.9	root
5183	2815.4	4801.9	root
5145.2	2797	4832.5	root
5166.4	2797	4808.5	root
5149.8	2778.7	4815.2	root
5171	2778.7	4791.2	root
5133.2	2760.4	4821.8	root
5154.4	2760.4	4797.9	root
5137.7	2742.1	4804.5	root
5159	2742.1	4780.6	root
5121.1	2723.8	4811.2	root
5142.3	2723.8	4787.2	root
5125.7	2705.5	4793.9	root
5146.9	2705.5	4769.9	root
5109.1	2687.2	4800.5	root
5130.3	2687.2	4776.6	root
5113.7	2668.9	4783.2	root
5134.9	2668.9	4759.2	root
5097	2650.6	4789.8	root
5118.2	2650.6	4765.9	root
