ccf_ap	ccf_dv	ccf_lr	allen_ontology
3986.6	6312.7	4897.1	OT
3997.6	6312.7	4927.2	OT
3988.2	6294.2	4879.5	OT
3999.1	6294.2	4909.6	OT
4000.7	6275.6	4892	OT
4011.6	6275.6	4922	OT
4002.3	6257.1	4874.4	OT
4013.2	6257.1	4904.4	OT
4014.8	6238.5	4886.8	OT
4025.7	6238.5	4916.9	OT
4016.3	6220	4869.2	OT
4027.3	6220	4899.3	OT
4028.9	6201.5	4881.7	OT
4039.8	6201.5	4911.8	OT
4030.4	6182.9	4864.1	OT
4041.4	6182.9	4894.2	OT
4042.9	6164.4	4876.6	OT
4053.9	6164.4	4906.7	OT
4044.5	6145.8	4859	OT
4055.4	6145.8	4889.1	OT
4057	6127.3	4871.5	OT
4068	6127.3	4901.5	OT
4058.6	6108.7	4853.9	OT
4069.5	6108.7	4883.9	OT
4071.1	6090.2	4866.3	OT
4082	6090.2	4896.4	OT
4072.7	6071.6	4848.7	OT
4083.6	6071.6	4878.8	OT
4085.2	6053.1	4861.2	OT
4096.1	6053.1	4891.3	OT
4086.7	6034.6	4843.6	OT
4097.7	6034.6	4873.7	OT
4099.3	6016	4856.1	OT
4110.2	6016	4886.2	OT
4100.8	5997.5	4838.5	OT
4111.8	5997.5	4868.6	OT
4124.3	5978.9	4881	OT
4114.9	5960.4	4833.4	OT
4125.8	5960.4	4863.4	OT
4127.4	5941.8	4845.8	OT
4138.4	5941.8	4875.9	OT
4129	5923.3	4828.2	OT
4139.9	5923.3	4858.3	OT
4141.5	5904.8	4840.7	OT
4152.4	5904.8	4870.8	SI
4143.1	5886.2	4823.1	SI
4154	5886.2	4853.2	SI
4155.6	5867.7	4835.6	SI
4166.5	5867.7	4865.7	SI
4157.1	5849.1	4818	SI
4168.1	5849.1	4848.1	SI
4169.7	5830.6	4830.5	SI
4180.6	5830.6	4860.5	SI
4171.2	5812	4812.9	SI
4182.2	5812	4842.9	SI
4183.7	5793.5	4825.3	SI
4194.7	5793.5	4855.4	SI
4185.3	5774.9	4807.7	SI
4196.3	5774.9	4837.8	SI
4197.8	5756.4	4820.2	SI
4208.8	5756.4	4850.3	SI
4199.4	5737.9	4802.6	SI
4210.3	5737.9	4832.7	SI
4211.9	5719.3	4815.1	SI
4222.8	5719.3	4845.2	SI
4213.5	5700.8	4797.5	SI
4224.4	5700.8	4827.6	SI
4226	5682.2	4810	SI
4236.9	5682.2	4840	SI
4227.5	5663.7	4792.4	SI
4238.5	5663.7	4822.4	SI
4240.1	5645.1	4804.8	SI
4251	5645.1	4834.9	SI
4241.6	5626.6	4787.2	SI
4254.1	5608.1	4799.7	SI
4265.1	5608.1	4829.8	SI
4255.7	5589.5	4782.1	SI
4266.7	5589.5	4812.2	SI
4268.2	5571	4794.6	SI
4279.2	5571	4824.7	SI
4269.8	5552.4	4777	ACB
4280.7	5552.4	4807.1	ACB
4282.3	5533.9	4789.5	ACB
4293.2	5533.9	4819.5	ACB
4283.9	5515.3	4771.9	ACB
4294.8	5515.3	4801.9	ACB
4296.4	5496.8	4784.3	ACB
4307.3	5496.8	4814.4	ACB
4298	5478.2	4766.7	ACB
4308.9	5478.2	4796.8	ACB
4310.5	5459.7	4779.2	ACB
4321.4	5459.7	4809.3	ACB
4312	5441.2	4761.6	ACB
4323	5441.2	4791.7	ACB
4324.5	5422.6	4774.1	ACB
4335.5	5422.6	4804.2	ACB
4326.1	5404.1	4756.5	ACB
4337.1	5404.1	4786.6	ACB
4338.6	5385.5	4769	ACB
4349.6	5385.5	4799	ACB
4340.2	5367	4751.4	ACB
4351.1	5367	4781.4	ACB
4352.7	5348.4	4763.8	ACB
4363.6	5348.4	4793.9	ACB
4354.3	5329.9	4746.2	ACB
4365.2	5329.9	4776.3	ACB
4366.8	5311.4	4758.7	ACB
4377.7	5311.4	4788.8	ACB
4368.4	5292.8	4741.1	ACB
4379.3	5292.8	4771.2	ACB
4391.8	5274.3	4783.7	ACB
4382.4	5255.7	4736	ACB
4393.4	5255.7	4766.1	ACB
4394.9	5237.2	4748.5	ACB
4405.9	5237.2	4778.5	ACB
4396.5	5218.6	4730.9	ACB
4407.5	5218.6	4760.9	ACB
4409	5200.1	4743.3	ACB
4420	5200.1	4773.4	ACB
4410.6	5181.6	4725.7	ACB
4421.5	5181.6	4755.8	ACB
4423.1	5163	4738.2	ACB
4434.1	5163	4768.3	ACB
4424.7	5144.5	4720.6	ACB
4435.6	5144.5	4750.7	ACB
4437.2	5125.9	4733.1	ACB
4448.1	5125.9	4763.2	ACB
4438.8	5107.4	4715.5	ACB
4449.7	5107.4	4745.6	ACB
4451.3	5088.8	4728	ACB
4462.2	5088.8	4758	ACB
4452.8	5070.3	4710.4	ACB
4463.8	5070.3	4740.4	ACB
4465.3	5051.7	4722.8	ACB
4476.3	5051.7	4752.9	ACB
4466.9	5033.2	4705.3	ACB
4477.9	5033.2	4735.3	ACB
4479.4	5014.7	4717.7	ACB
4490.4	5014.7	4747.8	ACB
4481	4996.1	4700.1	ACB
4491.9	4996.1	4730.2	ACB
4493.5	4977.6	4712.6	ACB
4504.5	4977.6	4742.7	ACB
4495.1	4959	4695	ACB
4506	4959	4725.1	ACB
4507.6	4940.5	4707.5	ACB
4518.5	4940.5	4737.5	ACB
4509.2	4921.9	4689.9	ACB
4521.7	4903.4	4702.3	ACB
4532.6	4903.4	4732.4	ACB
4523.2	4884.9	4684.8	ACB
4534.2	4884.9	4714.8	ACB
4535.8	4866.3	4697.2	ACB
4546.7	4866.3	4727.3	ACB
4537.3	4847.8	4679.6	ACB
4548.3	4847.8	4709.7	ACB
4549.8	4829.2	4692.1	ACB
4560.8	4829.2	4722.2	ACB
4551.4	4810.7	4674.5	ACB
4562.3	4810.7	4704.6	ACB
4563.9	4792.1	4687	ACB
4574.9	4792.1	4717	ACB
4565.5	4773.6	4669.4	ACB
4576.4	4773.6	4699.4	ACB
4578	4755	4681.8	ACB
4588.9	4755	4711.9	ACB
4579.6	4736.5	4664.3	ACB
4590.5	4736.5	4694.3	ACB
4592.1	4718	4676.7	ACB
4603	4718	4706.8	ACB
4593.6	4699.4	4659.1	ACB
4604.6	4699.4	4689.2	ACB
4606.2	4680.9	4671.6	ACB
4617.1	4680.9	4701.7	ACB
4607.7	4662.3	4654	ACB
4618.7	4662.3	4684.1	ACB
4620.2	4643.8	4666.5	ACB
4631.2	4643.8	4696.5	ACB
4621.8	4625.2	4648.9	ACB
4632.7	4625.2	4678.9	ACB
4634.3	4606.7	4661.3	ACB
4645.3	4606.7	4691.4	ACB
4635.9	4588.2	4643.8	ACB
4646.8	4588.2	4673.8	ACB
4659.3	4569.6	4686.3	ACB
4650	4551.1	4638.6	ACB
4660.9	4551.1	4668.7	ACB
4662.5	4532.5	4651.1	ACB
4673.4	4532.5	4681.2	ACB
4664	4514	4633.5	ACB
4675	4514	4663.6	ACB
4676.6	4495.4	4646	ACB
4687.5	4495.4	4676	ACB
4678.1	4476.9	4628.4	ACB
4689.1	4476.9	4658.4	ACB
4690.6	4458.3	4640.8	ACB
4701.6	4458.3	4670.9	ACB
4692.2	4439.8	4623.3	ACB
4703.2	4439.8	4653.3	ACB
4704.7	4421.3	4635.7	ACB
4715.7	4421.3	4665.8	CP
4706.3	4402.7	4618.1	CP
4717.2	4402.7	4648.2	CP
4718.8	4384.2	4630.6	CP
4729.7	4384.2	4660.7	CP
4720.4	4365.6	4613	CP
4731.3	4365.6	4643.1	CP
4732.9	4347.1	4625.5	CP
4743.8	4347.1	4655.5	CP
4734.4	4328.5	4607.9	CP
4745.4	4328.5	4637.9	CP
4747	4310	4620.3	CP
4757.9	4310	4650.4	CP
4748.5	4291.5	4602.8	CP
4759.5	4291.5	4632.8	CP
4761	4272.9	4615.2	CP
4772	4272.9	4645.3	CP
4762.6	4254.4	4597.6	CP
4773.6	4254.4	4627.7	CP
4775.1	4235.8	4610.1	CP
4786.1	4235.8	4640.2	CP
4776.7	4217.3	4592.5	CP
4789.2	4198.7	4605	CP
4800.1	4198.7	4635	CP
4790.8	4180.2	4587.4	CP
4801.7	4180.2	4617.4	CP
4803.3	4161.6	4599.8	CP
4814.2	4161.6	4629.9	CP
4804.9	4143.1	4582.3	CP
4815.8	4143.1	4612.3	CP
4817.4	4124.6	4594.7	CP
4828.3	4124.6	4624.8	CP
4818.9	4106	4577.1	CP
4829.9	4106	4607.2	CP
4831.4	4087.5	4589.6	CP
4842.4	4087.5	4619.7	CP
4833	4068.9	4572	CP
4844	4068.9	4602.1	CP
4845.5	4050.4	4584.5	CP
4856.5	4050.4	4614.5	CP
4847.1	4031.8	4566.9	CP
4858	4031.8	4596.9	CP
4859.6	4013.3	4579.3	CP
4870.6	4013.3	4609.4	CP
4861.2	3994.8	4561.8	CP
4872.1	3994.8	4591.8	CP
4873.7	3976.2	4574.2	CP
4884.6	3976.2	4604.3	CP
4875.3	3957.7	4556.6	CP
4886.2	3957.7	4586.7	CP
4887.8	3939.1	4569.1	CP
4898.7	3939.1	4599.2	CP
4889.3	3920.6	4551.5	CP
4900.3	3920.6	4581.6	CP
4901.8	3902	4564	CP
4912.8	3902	4594	CP
4903.4	3883.5	4546.4	CP
4914.4	3883.5	4576.4	CP
4926.9	3864.9	4588.9	CP
4917.5	3846.4	4541.3	CP
4928.4	3846.4	4571.3	CP
4930	3827.9	4553.7	CP
4941	3827.9	4583.8	CP
4931.6	3809.3	4536.1	CP
4942.5	3809.3	4566.2	CP
4944.1	3790.8	4548.6	CP
4955	3790.8	4578.7	CP
4945.7	3772.2	4531	CP
4956.6	3772.2	4561.1	CP
4958.2	3753.7	4543.5	CP
4969.1	3753.7	4573.5	CP
4959.7	3735.1	4525.9	CP
4970.7	3735.1	4555.9	CP
4972.3	3716.6	4538.4	CP
4983.2	3716.6	4568.4	CP
4973.8	3698.1	4520.8	CP
4984.8	3698.1	4550.8	CP
4986.3	3679.5	4533.2	CP
4997.3	3679.5	4563.3	CP
4987.9	3661	4515.6	CP
4998.8	3661	4545.7	CP
5000.4	3642.4	4528.1	CP
5011.4	3642.4	4558.2	CP
5002	3623.9	4510.5	CP
5012.9	3623.9	4540.6	CP
