ccf_ap	ccf_dv	ccf_lr	allen_ontology
5459.2	4432.1	3805.6	CP
5465.7	4432.1	3774.2	CP
5454.6	4412.2	3821	CP
5461.1	4412.2	3789.6	CP
5456.6	4392.2	3805	CP
5463	4392.2	3773.7	CP
5452	4372.3	3820.4	CP
5458.5	4372.3	3789.1	CP
5453.9	4352.3	3804.5	CP
5460.4	4352.3	3773.2	CP
5449.4	4332.3	3819.9	CP
5455.9	4332.3	3788.6	CP
5451.3	4312.4	3804	CP
5457.8	4312.4	3772.6	CP
5446.8	4292.4	3819.4	CP
5453.3	4292.4	3788	CP
5448.7	4272.5	3803.4	CP
5455.2	4272.5	3772.1	CP
5444.2	4252.5	3818.8	CP
5450.7	4252.5	3787.5	CP
5446.1	4232.6	3802.9	CP
5452.6	4232.6	3771.5	CP
5441.6	4212.6	3818.3	CP
5448	4212.6	3786.9	CP
5443.5	4192.7	3802.3	CP
5450	4192.7	3771	CP
5438.9	4172.7	3817.7	CP
5445.4	4172.7	3786.4	CP
5440.9	4152.7	3801.8	CP
5447.4	4152.7	3770.5	CP
5436.3	4132.8	3817.2	CP
5442.8	4132.8	3785.9	CP
5438.3	4112.8	3801.2	CP
5444.7	4112.8	3769.9	CP
5433.7	4092.9	3816.6	CP
5440.2	4092.9	3785.3	CP
5442.1	4072.9	3769.4	CP
5431.1	4053	3816.1	CP
5437.6	4053	3784.8	CP
5433	4033	3800.2	CP
5439.5	4033	3768.8	CP
5428.5	4013.1	3815.6	CP
5435	4013.1	3784.2	CP
5430.4	3993.1	3799.6	CP
5436.9	3993.1	3768.3	CP
5425.9	3973.1	3815	CP
5432.3	3973.1	3783.7	CP
5427.8	3953.2	3799.1	CP
5434.3	3953.2	3767.7	CP
5423.2	3933.2	3814.5	CP
5429.7	3933.2	3783.1	CP
5425.2	3913.3	3798.5	CP
5431.7	3913.3	3767.2	CP
5420.6	3893.3	3813.9	CP
5427.1	3893.3	3782.6	CP
5422.6	3873.4	3798	CP
5429	3873.4	3766.7	CP
5418	3853.4	3813.4	CP
5424.5	3853.4	3782.1	CP
5419.9	3833.5	3797.5	CP
5426.4	3833.5	3766.1	CP
5415.4	3813.5	3812.9	CP
5421.9	3813.5	3781.5	CP
5417.3	3793.6	3796.9	CP
5423.8	3793.6	3765.6	CP
5412.8	3773.6	3812.3	CP
5419.3	3773.6	3781	CP
5414.7	3753.6	3796.4	CP
5421.2	3753.6	3765	CP
5410.2	3733.7	3811.8	CP
5416.7	3733.7	3780.4	CP
5412.1	3713.7	3795.8	CP
5418.6	3713.7	3764.5	CP
5407.6	3693.8	3811.2	CP
5409.5	3673.8	3795.3	CP
5416	3673.8	3764	CP
5404.9	3653.9	3810.7	CP
5411.4	3653.9	3779.4	CP
5406.9	3633.9	3794.8	CP
5413.4	3633.9	3763.4	CP
5402.3	3614	3810.2	CP
5408.8	3614	3778.8	CP
5404.3	3594	3794.2	CP
5410.7	3594	3762.9	CP
5399.7	3574	3809.6	CP
5406.2	3574	3778.3	CP
5401.6	3554.1	3793.7	CP
5408.1	3554.1	3762.3	CP
5397.1	3534.1	3809.1	CP
5403.6	3534.1	3777.7	CP
5399	3514.2	3793.1	CP
5405.5	3514.2	3761.8	CP
5394.5	3494.2	3808.5	CP
5401	3494.2	3777.2	CP
5396.4	3474.3	3792.6	CP
5402.9	3474.3	3761.3	CP
5391.9	3454.3	3808	CP
5398.3	3454.3	3776.7	CP
5393.8	3434.4	3792.1	CP
5400.3	3434.4	3760.7	CP
5389.2	3414.4	3807.4	CP
5395.7	3414.4	3776.1	CP
5391.2	3394.4	3791.5	CP
5397.7	3394.4	3760.2	CP
5386.6	3374.5	3806.9	CP
5393.1	3374.5	3775.6	CP
5388.6	3354.5	3791	CP
5395	3354.5	3759.6	CP
5384	3334.6	3806.4	CP
5390.5	3334.6	3775	CP
5392.4	3314.6	3759.1	CP
5381.4	3294.7	3805.8	CP
5387.9	3294.7	3774.5	CP
5383.3	3274.7	3789.9	CP
5389.8	3274.7	3758.6	CP
5378.8	3254.8	3805.3	CP
5385.3	3254.8	3773.9	CP
5380.7	3234.8	3789.3	CP
5387.2	3234.8	3758	CP
5376.2	3214.8	3804.7	CP
5382.7	3214.8	3773.4	CP
5378.1	3194.9	3788.8	CP
5384.6	3194.9	3757.5	CP
5373.6	3174.9	3804.2	CP
5380	3174.9	3772.9	CP
5375.5	3155	3788.3	CP
5382	3155	3756.9	CP
5370.9	3135	3803.7	CP
5377.4	3135	3772.3	CP
5372.9	3115.1	3787.7	CP
5379.4	3115.1	3756.4	CP
5368.3	3095.1	3803.1	CP
5374.8	3095.1	3771.8	CP
5370.3	3075.2	3787.2	CP
5376.7	3075.2	3755.8	CP
5365.7	3055.2	3802.6	CP
5372.2	3055.2	3771.2	CP
5367.6	3035.2	3786.6	CP
5374.1	3035.2	3755.3	CP
5363.1	3015.3	3802	CP
5369.6	3015.3	3770.7	CP
5365	2995.3	3786.1	CP
5371.5	2995.3	3754.8	CP
5360.5	2975.4	3801.5	CP
5367	2975.4	3770.2	CP
5362.4	2955.4	3785.6	CP
5368.9	2955.4	3754.2	CP
5357.9	2935.5	3801	CP
5359.8	2915.5	3785	CP
5366.3	2915.5	3753.7	CP
5355.2	2895.6	3800.4	CP
5361.7	2895.6	3769.1	CP
5357.2	2875.6	3784.5	CP
5363.7	2875.6	3753.1	CP
5352.6	2855.6	3799.9	CP
5359.1	2855.6	3768.5	CP
5354.6	2835.7	3783.9	CP
5361	2835.7	3752.6	CP
5350	2815.7	3799.3	CP
5356.5	2815.7	3768	CP
5352	2795.8	3783.4	CP
5358.4	2795.8	3752.1	CP
5347.4	2775.8	3798.8	CP
5353.9	2775.8	3767.5	CP
5349.3	2755.9	3782.9	CP
5355.8	2755.9	3751.5	CP
5344.8	2735.9	3798.3	CP
5351.3	2735.9	3766.9	CP
5346.7	2716	3782.3	CP
5353.2	2716	3751	CP
5342.2	2696	3797.7	CP
5348.7	2696	3766.4	CP
5344.1	2676.1	3781.8	CP
5350.6	2676.1	3750.4	CP
5339.6	2656.1	3797.2	CP
5346	2656.1	3765.8	CP
5341.5	2636.1	3781.2	CP
5348	2636.1	3749.9	CP
5336.9	2616.2	3796.6	CP
5343.4	2616.2	3765.3	CP
5338.9	2596.2	3780.7	CP
5345.4	2596.2	3749.4	CP
5334.3	2576.3	3796.1	CP
5340.8	2576.3	3764.8	CP
5342.7	2556.3	3748.8	CP
5331.7	2536.4	3795.5	CP
5338.2	2536.4	3764.2	CP
5333.6	2516.4	3779.6	CP
5340.1	2516.4	3748.3	CP
5329.1	2496.5	3795	CP
5335.6	2496.5	3763.7	CP
5331	2476.5	3779.1	CP
5337.5	2476.5	3747.7	CP
5326.5	2456.5	3794.5	CP
5333	2456.5	3763.1	CP
5328.4	2436.6	3778.5	CP
5334.9	2436.6	3747.2	CP
5323.9	2416.6	3793.9	CP
5330.3	2416.6	3762.6	CP
5325.8	2396.7	3778	CP
5332.3	2396.7	3746.6	CP
5321.3	2376.7	3793.4	CP
5327.7	2376.7	3762	CP
5323.2	2356.8	3777.4	CP
5329.7	2356.8	3746.1	CP
5318.6	2336.8	3792.8	CP
5325.1	2336.8	3761.5	CP
5320.6	2316.9	3776.9	CP
5327.1	2316.9	3745.6	CP
5316	2296.9	3792.3	CP
5322.5	2296.9	3761	MOp
5318	2276.9	3776.4	MOp
5324.4	2276.9	3745	MOp
5313.4	2257	3791.8	MOp
5319.9	2257	3760.4	MOp
5315.3	2237	3775.8	MOp
5321.8	2237	3744.5	MOp
5310.8	2217.1	3791.2	MOp
5317.3	2217.1	3759.9	MOp
5312.7	2197.1	3775.3	MOp
5319.2	2197.1	3743.9	MOp
5308.2	2177.2	3790.7	MOp
5310.1	2157.2	3774.7	MOp
5316.6	2157.2	3743.4	MOp
5305.6	2137.3	3790.1	MOp
5312	2137.3	3758.8	MOp
5307.5	2117.3	3774.2	MOp
5314	2117.3	3742.9	MOp
5302.9	2097.3	3789.6	MOp
5309.4	2097.3	3758.3	MOp
5304.9	2077.4	3773.7	MOp
5311.4	2077.4	3742.3	MOp
5300.3	2057.4	3789.1	MOp
5306.8	2057.4	3757.7	MOp
5302.3	2037.5	3773.1	MOp
5308.7	2037.5	3741.8	MOp
5297.7	2017.5	3788.5	MOp
5304.2	2017.5	3757.2	MOp
5299.6	1997.6	3772.6	MOp
5306.1	1997.6	3741.2	MOp
5295.1	1977.6	3788	MOp
5301.6	1977.6	3756.6	MOp
5297	1957.7	3772	MOp
5303.5	1957.7	3740.7	MOp
5292.5	1937.7	3787.4	MOp
5299	1937.7	3756.1	MOp
5294.4	1917.7	3771.5	MOp
5300.9	1917.7	3740.2	MOp
5289.9	1897.8	3786.9	MOp
5296.3	1897.8	3755.6	MOp
5291.8	1877.8	3771	MOp
5298.3	1877.8	3739.6	MOp
5287.3	1857.9	3786.4	MOp
5293.7	1857.9	3755	MOp
5289.2	1837.9	3770.4	MOp
5295.7	1837.9	3739.1	MOp
5284.6	1818	3785.8	MOp
5291.1	1818	3754.5	MOp
5293.1	1798	3738.5	MOp
5282	1778.1	3785.3	MOp
5288.5	1778.1	3753.9	MOp
5284	1758.1	3769.3	MOp
5290.4	1758.1	3738	MOp
5279.4	1738.1	3784.7	MOp
5285.9	1738.1	3753.4	MOp
5281.3	1718.2	3768.8	MOp
5287.8	1718.2	3737.5	MOp
5276.8	1698.2	3784.2	MOp
5283.3	1698.2	3752.9	MOp
5278.7	1678.3	3768.2	MOp
5285.2	1678.3	3736.9	MOp
5274.2	1658.3	3783.6	MOp
5280.7	1658.3	3752.3	MOp
5276.1	1638.4	3767.7	MOp
5282.6	1638.4	3736.4	MOp
5271.6	1618.4	3783.1	MOp
5278	1618.4	3751.8	MOp
5273.5	1598.5	3767.2	MOp
5280	1598.5	3735.8	MOp
5268.9	1578.5	3782.6	MOp
5275.4	1578.5	3751.2	MOp
5270.9	1558.5	3766.6	MOp
5277.4	1558.5	3735.3	MOp
5266.3	1538.6	3782	MOp
5272.8	1538.6	3750.7	MOp
5268.3	1518.6	3766.1	MOp
5274.7	1518.6	3734.7	MOp
5263.7	1498.7	3781.5	MOp
5270.2	1498.7	3750.1	MOp
5265.6	1478.7	3765.5	MOp
5272.1	1478.7	3734.2	MOp
5261.1	1458.8	3780.9	MOp
5267.6	1458.8	3749.6	MOp
5263	1438.8	3765	MOp
5269.5	1438.8	3733.7	MOp
5258.5	1418.9	3780.4	MOp
5260.4	1398.9	3764.5	MOp
5266.9	1398.9	3733.1	MOp
5255.9	1379	3779.9	MOp
5262.4	1379	3748.5	MOp
5257.8	1359	3763.9	MOp
5264.3	1359	3732.6	MOp
5253.3	1339	3779.3	MOp
5259.7	1339	3748	MOp
5255.2	1319.1	3763.4	MOp
5261.7	1319.1	3732	MOp
5250.6	1299.1	3778.8	MOp
5257.1	1299.1	3747.4	MOp
5252.6	1279.2	3762.8	MOp
5259.1	1279.2	3731.5	MOp
5248	1259.2	3778.2	MOp
5254.5	1259.2	3746.9	MOp
5250	1239.3	3762.3	MOp
5256.4	1239.3	3731	MOp
5245.4	1219.3	3777.7	MOp
5251.9	1219.3	3746.4	MOp
5247.3	1199.4	3761.8	MOp
5253.8	1199.4	3730.4	MOp
5242.8	1179.4	3777.2	MOp
5249.3	1179.4	3745.8	MOp
5244.7	1159.4	3761.2	MOp
5251.2	1159.4	3729.9	MOp
5240.2	1139.5	3776.6	MOp
5246.7	1139.5	3745.3	MOp
5242.1	1119.5	3760.7	MOp
5248.6	1119.5	3729.3	MOp
5237.6	1099.6	3776.1	MOp
5244	1099.6	3744.7	MOp
5239.5	1079.6	3760.1	MOp
5246	1079.6	3728.8	MOp
5234.9	1059.7	3775.5	MOp
5241.4	1059.7	3744.2	MOp
5243.4	1039.7	3728.3	MOp
5232.3	1019.8	3775	MOp
5238.8	1019.8	3743.7	MOp
5234.3	999.8	3759.1	MOp
5240.7	999.8	3727.7	MOp
5229.7	979.8	3774.4	MOp
5236.2	979.8	3743.1	MOp
5231.6	959.9	3758.5	MOp
5238.1	959.9	3727.2	MOp
5227.1	939.9	3773.9	MOp
5233.6	939.9	3742.6	MOp
5229	920	3758	MOp
5235.5	920	3726.6	MOp
5224.5	900	3773.4	MOp
5231	900	3742	MOp
5226.4	880.1	3757.4	MOp
5232.9	880.1	3726.1	MOp
5221.9	860.1	3772.8	MOp
5228.4	860.1	3741.5	MOp
5223.8	840.2	3756.9	MOp
5230.3	840.2	3725.6	MOp
5219.3	820.2	3772.3	MOp
5225.7	820.2	3740.9	root
5221.2	800.2	3756.3	root
5227.7	800.2	3725	root
5216.6	780.3	3771.7	root
5223.1	780.3	3740.4	root
5218.6	760.3	3755.8	root
5225.1	760.3	3724.5	root
5214	740.4	3771.2	root
5220.5	740.4	3739.9	root
5216	720.4	3755.3	root
5222.4	720.4	3723.9	root
5211.4	700.5	3770.7	root
5217.9	700.5	3739.3	root
5213.3	680.5	3754.7	root
5219.8	680.5	3723.4	root
5208.8	660.6	3770.1	root
5210.7	640.6	3754.2	root
5217.2	640.6	3722.8	root
5206.2	620.6	3769.6	root
5212.7	620.6	3738.2	root
5276	4325.3	3999.8	CP
5302.4	4325.3	4017.8	CP
5265.7	4305.9	3986.4	CP
5292.2	4305.9	4004.4	CP
5281.9	4286.6	3991.1	CP
5308.3	4286.6	4009.1	CP
5271.6	4267.3	3977.8	CP
5298	4267.3	3995.8	CP
5287.8	4248	3982.5	CP
5314.2	4248	4000.5	CP
5277.5	4228.7	3969.1	CP
5303.9	4228.7	3987.1	CP
5293.7	4209.4	3973.8	CP
5320.1	4209.4	3991.8	CP
5283.4	4190.1	3960.5	CP
5309.8	4190.1	3978.5	CP
5299.6	4170.8	3965.2	CP
5326	4170.8	3983.2	CP
5289.3	4151.5	3951.8	CP
5315.7	4151.5	3969.8	CP
5305.4	4132.2	3956.5	CP
5331.9	4132.2	3974.5	CP
5295.2	4112.9	3943.2	CP
5321.6	4112.9	3961.2	CP
5311.3	4093.6	3947.8	CP
5337.8	4093.6	3965.9	CP
5301.1	4074.3	3934.5	CP
5327.5	4074.3	3952.5	CP
5317.2	4055	3939.2	CP
5343.7	4055	3957.2	CP
5307	4035.7	3925.9	CP
5333.4	4035.7	3943.9	CP
5323.1	4016.4	3930.5	CP
5349.6	4016.4	3948.6	CP
5312.8	3997.1	3917.2	CP
5339.3	3997.1	3935.2	CP
5355.5	3977.8	3939.9	CP
5318.7	3958.5	3908.6	CP
5345.2	3958.5	3926.6	CP
5334.9	3939.2	3913.2	CP
5361.4	3939.2	3931.3	CP
5324.6	3919.9	3899.9	CP
5351.1	3919.9	3917.9	CP
5340.8	3900.6	3904.6	CP
5367.2	3900.6	3922.6	CP
5330.5	3881.3	3891.3	CP
5357	3881.3	3909.3	CP
5346.7	3862	3895.9	CP
5373.1	3862	3914	CP
5336.4	3842.7	3882.6	CP
5362.9	3842.7	3900.6	CP
5352.6	3823.4	3887.3	CP
5379	3823.4	3905.3	CP
5342.3	3804.1	3874	CP
5368.8	3804.1	3892	CP
5358.5	3784.8	3878.6	CP
5384.9	3784.8	3896.7	CP
5348.2	3765.5	3865.3	CP
5374.7	3765.5	3883.3	CP
5364.4	3746.2	3870	CP
5390.8	3746.2	3888	CP
5354.1	3726.9	3856.7	CP
5380.5	3726.9	3874.7	CP
5370.3	3707.6	3861.3	CP
5396.7	3707.6	3879.4	CP
5360	3688.3	3848	CP
5386.4	3688.3	3866	CP
5376.2	3668.9	3852.7	CP
5402.6	3668.9	3870.7	CP
5365.9	3649.6	3839.4	CP
5392.3	3649.6	3857.4	CP
5382.1	3630.3	3844	CP
5408.5	3630.3	3862.1	CP
5371.8	3611	3830.7	CP
5387.9	3591.7	3835.4	CP
5414.4	3591.7	3853.4	CP
5377.7	3572.4	3822.1	CP
5404.1	3572.4	3840.1	CP
5393.8	3553.1	3826.7	CP
5420.3	3553.1	3844.8	CP
5383.6	3533.8	3813.4	CP
5410	3533.8	3831.4	CP
5399.7	3514.5	3818.1	CP
5426.2	3514.5	3836.1	CP
5389.5	3495.2	3804.8	CP
5415.9	3495.2	3822.8	CP
5405.6	3475.9	3809.4	CP
5432.1	3475.9	3827.4	CP
5395.3	3456.6	3796.1	CP
5421.8	3456.6	3814.1	CP
5411.5	3437.3	3800.8	CP
5438	3437.3	3818.8	CP
5401.2	3418	3787.5	CP
5427.7	3418	3805.5	CP
5417.4	3398.7	3792.1	CP
5443.9	3398.7	3810.1	CP
5407.1	3379.4	3778.8	CP
5433.6	3379.4	3796.8	CP
5423.3	3360.1	3783.5	CP
5449.7	3360.1	3801.5	CP
5413	3340.8	3770.1	CP
5439.5	3340.8	3788.2	CP
5429.2	3321.5	3774.8	CP
5455.6	3321.5	3792.8	CP
5418.9	3302.2	3761.5	CP
5445.4	3302.2	3779.5	CP
5435.1	3282.9	3766.2	CP
5461.5	3282.9	3784.2	CP
5424.8	3263.6	3752.8	CP
5451.3	3263.6	3770.9	CP
5467.4	3244.3	3775.5	CP
5430.7	3225	3744.2	CP
5457.2	3225	3762.2	CP
5446.9	3205.7	3748.9	CP
5473.3	3205.7	3766.9	CP
5436.6	3186.4	3735.5	CP
5463	3186.4	3753.6	CP
5452.8	3167.1	3740.2	CP
5479.2	3167.1	3758.2	CP
5442.5	3147.8	3726.9	CP
5468.9	3147.8	3744.9	CP
5458.7	3128.5	3731.6	CP
5485.1	3128.5	3749.6	CP
5448.4	3109.2	3718.2	CP
5474.8	3109.2	3736.3	CP
5464.6	3089.9	3722.9	CP
5491	3089.9	3740.9	CP
5454.3	3070.6	3709.6	CP
5480.7	3070.6	3727.6	CP
5470.4	3051.2	3714.3	CP
5496.9	3051.2	3732.3	CP
5460.2	3031.9	3700.9	CP
5486.6	3031.9	3719	CP
5476.3	3012.6	3705.6	CP
5502.8	3012.6	3723.6	CP
5466.1	2993.3	3692.3	CP
5492.5	2993.3	3710.3	CP
5482.2	2974	3697	CP
5508.7	2974	3715	CP
5472	2954.7	3683.6	CP
5498.4	2954.7	3701.7	CP
