ccf_ap	ccf_dv	ccf_lr	allen_ontology
5408	5900.1	2533.4	EP
5376	5900.1	2533.4	EP
5424	5880.8	2538.6	EP
5392	5880.8	2538.6	EP
5408	5861.5	2543.8	EP
5376	5861.5	2543.8	EP
5424	5842.1	2549	EP
5392	5842.1	2549	EP
5408	5822.8	2554.1	EP
5376	5822.8	2554.1	EP
5424	5803.5	2559.3	EP
5392	5803.5	2559.3	EP
5408	5784.2	2564.5	EP
5376	5784.2	2564.5	EP
5424	5764.9	2569.7	EP
5392	5764.9	2569.7	EP
5408	5745.5	2574.8	EP
5376	5745.5	2574.8	EP
5424	5726.2	2580	EP
5392	5726.2	2580	EP
5408	5706.9	2585.2	EP
5376	5706.9	2585.2	EP
5424	5687.6	2590.4	EP
5392	5687.6	2590.4	EP
5408	5668.3	2595.6	EP
5376	5668.3	2595.6	EP
5424	5648.9	2600.7	EP
5392	5648.9	2600.7	EP
5408	5629.6	2605.9	EP
5376	5629.6	2605.9	EP
5424	5610.3	2611.1	EP
5392	5610.3	2611.1	EP
5408	5591	2616.3	EP
5376	5591	2616.3	EP
5424	5571.7	2621.4	EP
5392	5571.7	2621.4	EP
5376	5552.4	2626.6	EP
5424	5533	2631.8	EP
5392	5533	2631.8	EP
5408	5513.7	2637	EP
5376	5513.7	2637	EP
5424	5494.4	2642.1	EP
5392	5494.4	2642.1	EP
5408	5475.1	2647.3	EP
5376	5475.1	2647.3	EP
5424	5455.8	2652.5	EP
5392	5455.8	2652.5	EP
5408	5436.4	2657.7	EP
5376	5436.4	2657.7	EP
5424	5417.1	2662.8	EP
5392	5417.1	2662.8	CP
5408	5397.8	2668	CP
5376	5397.8	2668	CP
5424	5378.5	2673.2	CP
5392	5378.5	2673.2	CP
5408	5359.2	2678.4	CP
5376	5359.2	2678.4	CP
5424	5339.9	2683.6	CP
5392	5339.9	2683.6	CP
5408	5320.5	2688.7	CP
5376	5320.5	2688.7	CP
5424	5301.2	2693.9	CP
5392	5301.2	2693.9	CP
5408	5281.9	2699.1	CP
5376	5281.9	2699.1	CP
5424	5262.6	2704.3	CP
5392	5262.6	2704.3	CP
5408	5243.3	2709.4	CP
5376	5243.3	2709.4	CP
5424	5223.9	2714.6	CP
5392	5223.9	2714.6	CP
5408	5204.6	2719.8	CP
5376	5204.6	2719.8	CP
5424	5185.3	2725	CP
5408	5166	2730.1	CP
5376	5166	2730.1	CP
5424	5146.7	2735.3	CP
5392	5146.7	2735.3	CP
5408	5127.3	2740.5	CP
5376	5127.3	2740.5	CP
5424	5108	2745.7	CP
5392	5108	2745.7	CP
5408	5088.7	2750.8	CP
5376	5088.7	2750.8	CP
5424	5069.4	2756	CP
5392	5069.4	2756	CP
5408	5050.1	2761.2	CP
5376	5050.1	2761.2	CP
5424	5030.8	2766.4	CP
5392	5030.8	2766.4	CP
5408	5011.4	2771.5	CP
5376	5011.4	2771.5	CP
5424	4992.1	2776.7	CP
5392	4992.1	2776.7	CP
5408	4972.8	2781.9	CP
5376	4972.8	2781.9	CP
5424	4953.5	2787.1	CP
5392	4953.5	2787.1	CP
5408	4934.2	2792.3	CP
5376	4934.2	2792.3	CP
5424	4914.8	2797.4	CP
5392	4914.8	2797.4	CP
5408	4895.5	2802.6	CP
5376	4895.5	2802.6	CP
5424	4876.2	2807.8	CP
5392	4876.2	2807.8	CP
5408	4856.9	2813	CP
5376	4856.9	2813	CP
5424	4837.6	2818.1	CP
5392	4837.6	2818.1	CP
5376	4818.3	2823.3	CP
5424	4798.9	2828.5	CP
5392	4798.9	2828.5	CP
5408	4779.6	2833.7	CP
5376	4779.6	2833.7	CP
5424	4760.3	2838.8	CP
5392	4760.3	2838.8	CP
5408	4741	2844	CP
5376	4741	2844	CP
5424	4721.7	2849.2	CP
5392	4721.7	2849.2	CP
5408	4702.3	2854.4	CP
5376	4702.3	2854.4	CP
5424	4683	2859.5	CP
5392	4683	2859.5	CP
5408	4663.7	2864.7	CP
5376	4663.7	2864.7	CP
5424	4644.4	2869.9	CP
5392	4644.4	2869.9	CP
5408	4625.1	2875.1	CP
5376	4625.1	2875.1	CP
5424	4605.7	2880.3	CP
5392	4605.7	2880.3	CP
5408	4586.4	2885.4	CP
5376	4586.4	2885.4	CP
5424	4567.1	2890.6	CP
5392	4567.1	2890.6	CP
5408	4547.8	2895.8	CP
5376	4547.8	2895.8	CP
5424	4528.5	2901	CP
5392	4528.5	2901	CP
5408	4509.2	2906.1	CP
5376	4509.2	2906.1	CP
5424	4489.8	2911.3	CP
5392	4489.8	2911.3	CP
5408	4470.5	2916.5	CP
5376	4470.5	2916.5	CP
5424	4451.2	2921.7	CP
5408	4431.9	2926.8	CP
5376	4431.9	2926.8	CP
5424	4412.6	2932	CP
5392	4412.6	2932	CP
5408	4393.2	2937.2	CP
5376	4393.2	2937.2	CP
5424	4373.9	2942.4	CP
5392	4373.9	2942.4	CP
5408	4354.6	2947.5	CP
5376	4354.6	2947.5	CP
5424	4335.3	2952.7	CP
5392	4335.3	2952.7	CP
5408	4316	2957.9	CP
5376	4316	2957.9	CP
5424	4296.7	2963.1	CP
5392	4296.7	2963.1	CP
5408	4277.3	2968.3	CP
5376	4277.3	2968.3	CP
5424	4258	2973.4	CP
5392	4258	2973.4	CP
5408	4238.7	2978.6	CP
5376	4238.7	2978.6	CP
5424	4219.4	2983.8	CP
5392	4219.4	2983.8	CP
5408	4200.1	2989	CP
